period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,55,COSTA RICA,221.0,225.0,446.0,480.0,295.0,159.0,144.0,10.0,33.0,0.0,33.0,33.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,56,DOMINICAN REPUBLIC,62.0,283.0,345.0,306.0,111.0,206.0,200.0,32.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,57,ECUADOR,495.0,0.0,495.0,519.0,94.0,54.0,66.0,47.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,58,EL SALVADOR,171.0,0.0,171.0,177.0,101.0,64.0,52.0,20.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,59,GUATEMALA,75.0,219.0,294.0,309.0,179.0,301.0,8.0,3.0,75.0,0.0,75.0,75.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,60,HONDURAS,34.0,71.0,105.0,83.0,32.0,42.0,101.0,0.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,61,MEXICO,5182.0,54218.0,59400.0,63262.0,15596.0,14067.0,13123.0,850.0,3289.0,0.0,2732.0,3289.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,62,PERU,422.0,767.0,1189.0,1789.0,560.0,353.0,573.0,94.0,142.0,0.0,127.0,142.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,63,URUGUAY,1822.0,243.0,2065.0,566.0,3383.0,0.0,640.0,54.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,64,VENEZUELA,23.0,5.0,28.0,2803.0,40.0,162.0,256.0,89.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,65,OTHER LAT. AM. & CAR.,614.0,616.0,1230.0,33759.0,830.0,375.0,2123.0,159.0,4875.0,2.0,1162.0,4875.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,69,CHINA-MAINLAND,6488.0,24267.0,30755.0,43278.0,7064.0,4449.0,37549.0,342.0,16798.0,0.0,120.0,16798.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,70,INDIA,469.0,8525.0,8994.0,24741.0,13154.0,11078.0,27890.0,648.0,3344.0,0.0,3336.0,3344.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,71,INDONESIA,1986.0,3248.0,5234.0,8577.0,2668.0,1568.0,4674.0,273.0,328.0,0.0,327.0,328.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,72,"KOREA, SOUTH",5094.0,25351.0,30445.0,40639.0,17639.0,7973.0,19242.0,1408.0,16399.0,0.0,9587.0,16399.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,73,KUWAIT,93.0,104.0,197.0,5267.0,56.0,150.0,186.0,0.0,6555.0,0.0,1476.0,6555.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,74,MALAYSIA,4519.0,6190.0,10709.0,18103.0,1520.0,883.0,2047.0,26.0,70.0,0.0,70.0,70.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,75,PAKISTAN,72.0,811.0,883.0,1399.0,356.0,411.0,379.0,9.0,293.0,0.0,293.0,293.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,76,PHILIPPINES,2419.0,3045.0,5464.0,6264.0,1413.0,241.0,911.0,108.0,1013.0,0.0,939.0,1013.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,77,QATAR,15.0,49.0,64.0,4120.0,184.0,2.0,545.0,173.0,375.0,0.0,71.0,375.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,78,SAUDI ARABIA,424.0,241.0,665.0,15558.0,1806.0,30.0,2221.0,64.0,6659.0,0.0,2626.0,6659.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,79,TAIWAN,13586.0,9665.0,23251.0,36509.0,7310.0,1720.0,15280.0,161.0,9612.0,0.0,2382.0,9612.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,80,THAILAND,1530.0,5274.0,6804.0,9307.0,1362.0,1984.0,4251.0,59.0,844.0,0.0,790.0,844.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,81,UNITED ARAB EMIRATES,4959.0,2433.0,7392.0,13975.0,3197.0,9.0,679.0,173.0,963.0,0.0,375.0,963.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,82,WEST BANK AND GAZA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,Asia and Pacific,country_data,83,OTHER ASIA AND PACIFIC,3631.0,1864.0,5495.0,11653.0,-1368.0,612.0,2165.0,123.0,518.0,0.0,386.0,518.0
2017Q4,2017,Q4,Table 3,3,LFI,Africa,country_data,87,ALGERIA,159.0,849.0,1008.0,767.0,274.0,308.0,42.0,0.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,Africa,country_data,88,EGYPT,208.0,487.0,695.0,1059.0,174.0,415.0,6586.0,46.0,804.0,0.0,504.0,804.0
2017Q4,2017,Q4,Table 3,3,LFI,Africa,country_data,89,GHANA,0.0,0.0,0.0,207.0,0.0,0.0,288.0,43.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,Africa,country_data,90,KENYA,244.0,418.0,662.0,823.0,104.0,370.0,132.0,16.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,Africa,country_data,91,MOROCCO,122.0,361.0,483.0,746.0,-135.0,106.0,60.0,25.0,85.0,0.0,85.0,85.0
2017Q4,2017,Q4,Table 3,3,LFI,Africa,country_data,92,NIGERIA,583.0,849.0,1432.0,3802.0,-249.0,184.0,897.0,50.0,4181.0,0.0,17.0,4181.0
2017Q4,2017,Q4,Table 3,3,LFI,Africa,country_data,93,SOUTH AFRICA,617.0,3811.0,4428.0,9223.0,2689.0,1625.0,4837.0,673.0,503.0,0.0,377.0,503.0
2017Q4,2017,Q4,Table 3,3,LFI,Africa,country_data,94,SOUTH SUDAN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,Africa,country_data,95,OTHER AFRICA,699.0,1085.0,1784.0,5615.0,62.0,360.0,737.0,59.0,202.0,0.0,154.0,202.0
2017Q4,2017,Q4,Table 3,3,LFI,Banking Centers,country_data,99,BAHAMAS,3644.0,186.0,3830.0,6665.0,261.0,53.0,502.0,3.0,5409.0,0.0,1025.0,5409.0
2017Q4,2017,Q4,Table 3,3,LFI,Banking Centers,country_data,100,BAHRAIN,273.0,255.0,528.0,1162.0,-94.0,179.0,185.0,32.0,238.0,0.0,238.0,238.0
2017Q4,2017,Q4,Table 3,3,LFI,Banking Centers,country_data,101,BERMUDA,317.0,0.0,317.0,14897.0,2779.0,237.0,6103.0,127.0,2089.0,2.0,681.0,2089.0
2017Q4,2017,Q4,Table 3,3,LFI,Banking Centers,country_data,102,CAYMAN ISLANDS,91940.0,2.0,91942.0,184255.0,-60640.0,72615.0,20728.0,640.0,109042.0,92.0,23745.0,109042.0
2017Q4,2017,Q4,Table 3,3,LFI,Banking Centers,country_data,103,HONG KONG,48162.0,27091.0,75253.0,56787.0,350.0,6788.0,12106.0,1977.0,2213.0,2.0,511.0,2213.0
2017Q4,2017,Q4,Table 3,3,LFI,Banking Centers,country_data,104,LEBANON,151.0,32.0,183.0,2952.0,0.0,0.0,1023.0,128.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,Banking Centers,country_data,105,MAURITIUS,239.0,1.0,240.0,2732.0,11420.0,65.0,474.0,2.0,51.0,0.0,40.0,51.0
2017Q4,2017,Q4,Table 3,3,LFI,Banking Centers,country_data,106,PANAMA,1033.0,14.0,1047.0,1554.0,-34.0,455.0,417.0,86.0,101.0,0.0,50.0,101.0
2017Q4,2017,Q4,Table 3,3,LFI,Banking Centers,country_data,107,SINGAPORE,52637.0,19663.0,72300.0,58598.0,28379.0,10334.0,8180.0,299.0,24219.0,0.0,10565.0,24219.0
2017Q4,2017,Q4,Table 3,3,LFI,Banking Centers,country_data,108,OTHER BANKING CENTERS,19170.0,2628.0,21798.0,26764.0,-11174.0,699.0,4297.0,196.0,1652.0,0.0,244.0,1652.0
2017Q4,2017,Q4,Table 3,3,LFI,International & Regional Organizations,country_data,112,AFRICAN,0.0,0.0,0.0,84.0,0.0,141.0,256.0,8.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,International & Regional Organizations,country_data,115,INTERNATIONAL,0.0,0.0,0.0,1524.0,0.0,1730.0,2040.0,323.0,89.0,0.0,12.0,89.0
2017Q4,2017,Q4,Table 3,3,LFI,International & Regional Organizations,country_data,116,LATIN AMERICAN,0.0,0.0,0.0,64.0,0.0,812.0,919.0,12.0,0.0,0.0,0.0,0.0
2017Q4,2017,Q4,Table 3,3,LFI,International & Regional Organizations,country_data,120,UNITED STATES,0.0,0.0,0.0,217988.0,-557362.0,1446466.0,767588.0,95166.0,601678.0,26.0,463954.0,601678.0
