period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Ultimate_Risk_Basis_2_Cross_border_Claims_Excluding_Claims,Claims_on_Local_Residents_Total,In_Non_Local_Currency,In_Local_Currency,Claims_Resulting_From_the,Country_Risk_Claims_4,Off_Balance_Sheet_Items_Cross_Border_and_Local_Commitments_Unused_Commitments,Guarantees_Excluding_Credit_Derivatives,Credit_Derivatives_By_Reference_Gross_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Gross_Net_5_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Trade_Finance
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,country_data,88,OTHER ASIA AND PACIFIC,1043.0,25.0,0.0,25.0,2.0,1070.0,167.0,14.0,95.0,95.0,55.0,55.0,6.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,subtotal,89,Total,14060.0,3259.0,250.0,3009.0,59.0,17378.0,4583.0,443.0,7185.0,7368.0,3117.0,3300.0,1482.0
2015Q3,2015,Q3,Table 1,1,All Others,Asia and Pacific,empty,90,,,,,,,,,,,,,,
2015Q3,2015,Q3,Table 1,1,All Others,Africa,region_header,91,Africa,,,,,,,,,,,,,
2015Q3,2015,Q3,Table 1,1,All Others,Africa,country_data,92,ALGERIA,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
2015Q3,2015,Q3,Table 1,1,All Others,Africa,country_data,93,EGYPT,21.0,0.0,0.0,0.0,0.0,21.0,1.0,24.0,117.0,117.0,85.0,85.0,1.0
2015Q3,2015,Q3,Table 1,1,All Others,Africa,country_data,94,GHANA,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Africa,country_data,95,KENYA,6.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Africa,country_data,96,MOROCCO,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Africa,country_data,97,NIGERIA,23.0,0.0,0.0,0.0,0.0,23.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Africa,country_data,98,SAINT HELENA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Africa,country_data,99,SOUTH AFRICA,304.0,2.0,0.0,2.0,1.0,307.0,48.0,3.0,1511.0,1511.0,281.0,281.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Africa,country_data,100,SOUTH SUDAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Africa,country_data,101,OTHER AFRICA,137.0,1.0,0.0,1.0,11.0,149.0,175.0,2.0,0.0,0.0,0.0,0.0,1.0
2015Q3,2015,Q3,Table 1,1,All Others,Africa,subtotal,102,Total,497.0,3.0,0.0,3.0,12.0,512.0,236.0,35.0,1628.0,1628.0,366.0,366.0,5.0
2015Q3,2015,Q3,Table 1,1,All Others,Africa,empty,103,,,,,,,,,,,,,,
2015Q3,2015,Q3,Table 1,1,All Others,Banking Centers,region_header,104,Banking Centers,,,,,,,,,,,,,
