date,Large,Medium,Micro,Small
2014-03-01,30286.808358869825,10105.327290821959,2354.293373299017,2577.123836593925
2014-04-01,33618.08909025953,10783.28430662917,1873.6898247852432,1781.1320233987012
2014-05-01,35231.37919158879,10542.7408805462,2538.6871038936065,1250.939250121945
2014-06-01,32532.107462691147,10939.44735341362,2372.499010832891,1417.9119081955919
2014-07-01,32973.61014027737,10852.957514844718,2254.344282187853,2111.1045264525255
2014-08-01,33003.19500177293,9803.031861544194,2464.9639007128803,915.8990877886104
2014-09-01,32173.57712401085,10462.239296813581,1918.4581038308413,975.0885323217212
2014-10-01,32811.21011937195,10073.954101374278,1810.1840415943,927.65582408464
2014-11-01,34575.41877532153,9930.548815090297,1679.2580885808159,967.739606147434
2014-12-01,32705.857201273648,9478.247151484644,1827.9072881068807,1176.0554358185138
2015-01-01,34150.60122912232,8966.422910010908,1490.2493646537316,1133.4870641843029
2015-02-01,31851.134468462198,8442.634916328643,1770.3084198919055,1108.2026821597403
2015-03-01,29309.76661121353,7605.858117682061,1607.0831677893661,1606.413621361105
2015-04-01,32170.56589082675,7417.933611607848,1694.2155027764122,1276.613057847001
2015-05-01,33043.44774925476,7828.155618346471,1215.634010450576,1018.0641940527432
2015-06-01,33174.000901323765,7909.1624728587,1537.3011778283353,1007.8400929696145
2015-07-01,32136.11270304595,7666.034129316619,1690.9019490899793,1747.7757269351318
2015-08-01,30192.267203257477,7530.487270056168,1606.6696260062415,917.9520031049951
2015-09-01,27873.399910151787,6662.349439532384,1127.781899183524,849.2926366899561
2015-10-01,27616.55489001048,6729.450159842546,924.9243422395384,1380.5676679524827
2015-11-01,28827.174767018892,6996.319631852857,963.2695739525408,953.9070649478257
2015-12-01,28647.471522567528,6843.145767430271,1324.2733298402402,868.4293795987326
2016-01-01,26849.86498037993,7042.107144614079,1684.3350490915582,776.9048977679828
2016-02-01,27130.70810310345,6812.765162718633,1699.1374898241093,909.7037822832265
2016-03-01,28854.85043997407,7079.983551567009,1687.9448200298723,1109.8010948721815
2016-04-01,29498.186370673484,7162.639618914857,2123.8120155894126,1236.3284756145442
2016-05-01,31501.13173165124,7478.175485120746,1540.4389441561068,1185.5044235543933
2016-06-01,39201.08933717535,7402.274110825244,2609.152905174458,1169.7244888908078
2016-07-01,40640.85880455278,7723.661100463,2747.158020926622,1255.3132476846322
2016-08-01,41603.3485280504,7914.524245331276,2526.008478646528,1134.0443266884947
2016-09-01,39899.00175619228,7647.717130608998,2379.900291417916,1159.092685873791
2016-10-01,42378.56367478166,6942.032526339424,1557.9279844219197,820.8076048843968
2016-11-01,39365.851335233725,6920.896584641906,1316.0800045399728,516.8514474341823
2016-12-01,38420.4795783771,6434.8509531671925,1380.8324002049135,496.29329057054593
2017-01-01,39393.96446457208,6543.290688961092,1560.0733875148385,519.3108539712
2017-02-01,41223.789287125284,6621.233612304978,1578.5879561501229,555.2541258588049
2017-03-01,42798.0572951847,5976.757105223955,1537.4250683010741,559.2369563013815
2017-04-01,43004.93180301397,6213.336296305743,1529.8723080222692,601.939154792172
2017-05-01,41280.7210885825,6080.691926475003,1406.0355005742188,763.1744279171821
2017-06-01,39864.87142173937,6614.150738923279,546.3004949029784,957.0705069098973
2017-07-01,41024.911791022336,6648.747617348481,566.8110197539387,883.3682460822492
2017-08-01,41267.23595216729,7530.275254328688,1644.2959791328676,638.8656810291548
2017-09-01,41622.687245173394,7955.748994017567,1718.060263844885,796.9094741320733
2017-10-01,40796.45337236323,7760.0131319786315,1439.0271432171253,616.4504299578965
2017-11-01,39324.47896771603,7315.718203097208,1444.504297581731,593.7702304851421
2017-12-01,38800.99507037311,6303.60209176285,1293.0771699171457,552.613284658692
2018-01-01,40373.04092910998,6459.398693442901,1091.790527313826,516.2989313286723
2018-02-01,40763.50473832945,6568.743169703162,1094.0367664381508,575.5324551807429
2018-03-01,40991.6528489265,7493.610103006949,1212.1781702329104,590.8499060334645
2018-04-01,40920.10498835896,7181.059362211974,1078.1436592268635,611.9547777187474
2018-05-01,40195.126802398154,6789.293689242244,849.0719286957208,607.2600980865707
2018-06-01,38921.76086199578,6793.51835576057,961.9769445850061,557.1565215074814
2018-07-01,38354.06544407247,6598.262343064615,896.9913286753662,577.5487466955196
2018-08-01,37919.00696590127,7184.224020613072,960.6098725782657,660.5650210744959
2018-09-01,36735.12501963457,6556.515233143201,795.9203292510813,554.1612386286796
2018-10-01,39774.587060786806,7126.091315267827,873.603386854827,594.7812873020283
2018-11-01,39370.24681217855,6730.7780718750555,792.0373665239046,491.86401593760166
2018-12-01,33495.947837115324,6421.47218939322,531.5580225903318,434.1138457395665
2019-01-01,35986.31866107549,7321.677453365433,802.7957590091563,481.1667508817696
