date,BA,GO,MG,MT,PA,PR,RJ,RS,SC,SP
2015-11-01,1584.5169758011566,570.7458553313207,3323.8590640579496,930.0131566502463,315.24747758091013,2237.353700860746,6289.024519132369,2121.8705885852014,1048.219869026431,17135.432221081617
2015-12-01,1370.9018570002033,541.3501031340951,3281.5373680808243,902.7733200378763,279.545918150004,2196.08366729062,6391.032132657459,2167.330559212712,1172.5909330951206,17113.164444705377
2016-01-01,1514.0709962571405,473.68965455122094,3261.315958035057,834.4044031354623,298.1525237930111,2088.859425838196,6256.838652785308,1998.4991616858565,1101.9297809223992,16376.698500511513
2016-02-01,1470.1034980629815,504.63407577327246,3307.9288415112987,849.357104617635,287.99930043824537,2086.6342695154126,6375.592193557896,1975.1662854419567,1128.2202545130826,16413.797613314076
2016-03-01,1699.2879435958498,491.95360204617026,3450.672164872011,814.8265507685154,347.5189509652048,2163.6716903639426,6734.086424111516,2062.646759811295,1179.949803062613,17570.859970280617
2016-04-01,1742.7066710207446,577.2541377719313,3598.426870533262,795.9895484427419,422.51440137269805,2196.523624737748,7106.698869759114,2273.929736780695,1205.8627004437278,17861.124275950577
2016-05-01,1979.869213668576,657.9730805106753,3756.5928873457547,894.9190472367434,362.2737433951473,2199.2398142756947,7078.465008720751,2520.191259911165,1229.043008608277,18727.597350683285
2016-06-01,1716.7043605567605,697.3639607994096,5087.091369672452,883.0137020693214,343.12563728486725,2262.428089940146,11344.672361638568,2846.5712666167647,1262.8615708508216,21586.630470154138
2016-07-01,1973.164376700589,710.3356821916063,5340.696245751483,785.3254266287264,381.04944270583457,2305.32243596653,11857.64430262962,2968.0756268628047,1319.561689470458,22221.841716017276
2016-08-01,2002.7757922311762,707.6168261548489,5326.407710342945,766.0202953484469,447.1932340746832,2402.965197184095,12107.65022027967,2920.1699825182277,1335.1179095852754,22546.58721825443
2016-09-01,1497.097998673739,670.0342494020616,4996.599790009802,826.3110613922175,456.1017783406755,2295.192593118495,11502.627295073891,2826.4948554182733,1307.426674799918,22105.74008742321
2016-10-01,1658.8617287398615,618.0634360057077,5200.994350082958,843.0813461444886,485.4418718811272,2320.756192264646,11698.681738214802,2806.4912803724687,1179.817222044144,22291.933555921132
2016-11-01,1694.7747910146268,543.4313506193461,5027.708018698582,825.1959470137036,404.79553274196996,2210.3018716866723,9906.396977297143,2696.3822000999544,1238.2257817311743,21025.597470993005
2016-12-01,1452.5619693985211,512.6009466420902,4376.012806596593,936.2283525933958,461.9889879039332,2189.8687781486715,9794.426791203668,2575.890027804067,1155.6584110866593,20927.86005456386
2017-01-01,1640.8774295194034,533.5260339219257,4390.690149340451,977.1095228233166,511.5952222381447,2222.4031055611626,10293.078260033057,2463.037445429985,1145.3008232076124,21449.237819424106
2017-02-01,1679.787462083414,573.8700565635467,4567.468453632229,1088.863204812235,566.8466267859565,2319.392959106375,10657.704250466162,2521.0049181608806,1109.8420015440197,22415.81184482221
2017-03-01,1730.5116778497957,652.9716870173601,4573.368478350541,1089.223948022754,555.2363370031308,2473.694376989316,10931.802892793532,2461.7852142466572,1072.2302145312462,22900.371568711922
2017-04-01,1765.532803482108,649.8668348071747,4615.938568934155,1805.465482026885,614.4405162120347,2452.0477376440363,10889.845295690875,2474.4628290755245,1088.4483238943333,22596.581669504034
2017-05-01,1761.1622805368515,664.4083500103625,4562.673901471155,1696.82612550546,574.2878663666498,2401.260269650839,9906.474259572002,2513.9040210770363,1104.7214655258117,22008.58925430352
2017-06-01,1879.2935997021946,608.1820040021041,4119.235803159977,1684.8401552006565,623.4392123358042,2355.7993570197855,9141.665565291874,2517.17866501334,1090.5418757593486,21614.127345666617
2017-07-01,1956.8802438280254,642.3794767243445,4130.615747353487,1624.6840206012216,759.5532856699874,2441.924028874406,9396.202027812495,2597.5571915977907,1096.8854813357384,22093.049228220072
