date,year,month,tf_month,exports_annual,imports_annual,trade_annual,tf_pct_trade
2014-05-01,2014,5,49563.74642615048,270391.16,335743.47,606134.6299999999,8.177019423250984
2014-06-01,2014,6,47261.96573513326,270391.16,335743.47,606134.6299999999,7.797271991394596
2014-07-01,2014,7,48192.016463762586,270391.16,335743.47,606134.6299999999,7.950711620578846
2014-08-01,2014,8,46187.089851818724,270391.16,335743.47,606134.6299999999,7.619939129994722
2014-09-01,2014,9,45529.363056977134,270391.16,335743.47,606134.6299999999,7.511427462406683
2014-10-01,2014,10,45623.00408642512,270391.16,335743.47,606134.6299999999,7.526876345346764
2014-11-01,2014,11,47152.96528514001,270391.16,335743.47,606134.6299999999,7.779289113565417
2014-12-01,2014,12,45188.067076683736,270391.16,335743.47,606134.6299999999,7.455120502962147
2015-01-01,2015,1,45740.76056797123,231639.91,252347.92,483987.83,9.450808002335767
2015-02-01,2015,2,43172.280486842465,231639.91,252347.92,483987.83,8.920116955594207
2015-03-01,2015,3,40129.121518045926,231639.91,252347.92,483987.83,8.29134929240802
2015-04-01,2015,4,42559.3280630579,231639.91,252347.92,483987.83,8.793470708356015
2015-05-01,2015,5,43105.30157210459,231639.91,252347.92,483987.83,8.90627798887104
2015-06-01,2015,6,43628.30464498032,231639.91,252347.92,483987.83,9.014339192161158
2015-07-01,2015,7,43240.8245083877,231639.91,252347.92,483987.83,8.934279299623649
2015-08-01,2015,8,40247.37610242489,231639.91,252347.92,483987.83,8.315782672143818
2015-09-01,2015,9,36512.8238855577,231639.91,252347.92,483987.83,7.544161572318399
2015-10-01,2015,10,36651.49706004512,231639.91,252347.92,483987.83,7.572813775099493
2015-11-01,2015,11,37740.671037772074,231639.91,252347.92,483987.83,7.797855379498298
2015-12-01,2015,12,37683.31999943693,231639.91,252347.92,483987.83,7.786005693456574
2016-01-01,2016,1,36353.2120718536,224327.08,217135.27,441462.35,8.23472535582108
2016-02-01,2016,2,36552.31453792952,224327.08,217135.27,441462.35,8.279826023199831
2016-03-01,2016,3,38732.57990644312,224327.08,217135.27,441462.35,8.77369948002205
2016-04-01,2016,4,40020.96648079228,224327.08,217135.27,441462.35,9.065544656479151
2016-05-01,2016,5,41705.25058448245,224327.08,217135.27,441462.35,9.447068495078334
2016-06-01,2016,6,50382.24084206598,224327.08,217135.27,441462.35,11.412579315555671
2016-07-01,2016,7,52366.99117362709,224327.08,217135.27,441462.35,11.862164729025498
2016-08-01,2016,8,53177.925578716706,224327.08,217135.27,441462.35,12.04585749582421
2016-09-01,2016,9,51085.711864093006,224327.08,217135.27,441462.35,11.571929489364836
2016-10-01,2016,10,51699.33179042756,224327.08,217135.27,441462.35,11.710926603464047
2016-11-01,2016,11,48119.679371849765,224327.08,217135.27,441462.35,10.900064155380356
2016-12-01,2016,12,46732.45622231967,224327.08,217135.27,441462.35,10.585830529448247
2017-01-01,2017,1,48016.63939501916,258392.31,243568.3,501960.61,9.56581820135631
2017-02-01,2017,2,49978.86498143923,258392.31,243568.3,501960.61,9.956730465651324
2017-03-01,2017,3,50871.47642501112,258392.31,243568.3,501960.61,10.134555463427922
2017-04-01,2017,4,51350.07956213413,258392.31,243568.3,501960.61,10.229902215262296
2017-05-01,2017,5,49530.62294354893,258392.31,243568.3,501960.61,9.867432216155155
2017-06-01,2017,6,47982.393162475564,258392.31,243568.3,501960.61,9.558995707347547
