date,year,month,tf_month,exports_annual,tf_pct_exports
2018-02-01,2018,2,49001.81712965156,280388.75,17.476384886929864
2018-03-01,2018,3,50288.29102819988,280388.75,17.935202831140646
2018-04-01,2018,4,49791.26278751664,280388.75,17.757938857217574
2018-05-01,2018,5,48440.752518422705,280388.75,17.27628248937331
2018-06-01,2018,6,47234.41268384882,280388.75,16.846044173972324
2018-07-01,2018,7,46426.867862507934,280388.75,16.558035178839354
2018-08-01,2018,8,46724.40588016722,280388.75,16.664151425535874
2018-09-01,2018,9,44641.721820657505,280388.75,15.921366966633826
2018-10-01,2018,10,48369.06305021149,280388.75,17.250714606135762
2018-11-01,2018,11,47466.477999873234,280388.75,16.92880973287025
2018-12-01,2018,12,46030.3258714036,280388.75,16.416609393709123
2019-01-01,2019,1,47991.45205344733,264588.22,18.138166564425028
2019-02-01,2019,2,49279.04904760783,264588.22,18.62480840893364
2019-03-01,2019,3,46842.64556203992,264588.22,17.703980004113536
2019-04-01,2019,4,46398.44789588515,264588.22,17.536097372696773
2019-05-01,2019,5,45963.57568625248,264588.22,17.371739258177286
2019-06-01,2019,6,46016.458599260375,264588.22,17.391726131745543
2019-07-01,2019,7,46132.37496781836,264588.22,17.435536233555055
2019-08-01,2019,8,44324.03846352248,264588.22,16.752083091047094
2019-09-01,2019,9,43634.40580190737,264588.22,16.491439339932583
2019-10-01,2019,10,43298.77714404669,264588.22,16.364589906552414
2019-11-01,2019,11,43026.46090108955,264588.22,16.26166913292268
2019-12-01,2019,12,43060.05096478311,264588.22,16.27436435559494
2020-01-01,2020,1,42907.82141675405,242930.28,17.66260731957912
2020-02-01,2020,2,41881.18298103576,242930.28,17.240001115149482
2020-03-01,2020,3,45439.52516784215,242930.28,18.704759722765786
2020-04-01,2020,4,43908.40323658199,242930.28,18.074487559386167
2020-05-01,2020,5,41546.2151294506,242930.28,17.102114701160595
2020-06-01,2020,6,43650.91993897612,242930.28,17.96849694446329
2020-07-01,2020,7,40981.54510693616,242930.28,16.86967351576599
2020-08-01,2020,8,39364.800184909,242930.28,16.204155441186252
2020-09-01,2020,9,38352.12533296444,242930.28,15.787297216701202
2020-10-01,2020,10,36409.23120216211,242930.28,14.987522840776421
2020-11-01,2020,11,36499.68078733337,242930.28,15.024755574864265
2020-12-01,2020,12,36944.26282075906,242930.28,15.207763651677784
2021-01-01,2021,1,36248.1299446374,319232.81,11.354763297869477
2021-02-01,2021,2,36521.212481281924,319232.81,11.440306678151886
2021-03-01,2021,3,35980.70055800608,319232.81,11.270990772535592
2021-04-01,2021,4,37979.426313307435,319232.81,11.89709363310978
2021-05-01,2021,5,40465.597021445086,319232.81,12.675889117238635
2021-06-01,2021,6,40671.97579819348,319232.81,12.740537477395723
2021-07-01,2021,7,39745.65975006147,319232.81,12.45036804019658
2021-08-01,2021,8,38769.64570727241,319232.81,12.14463065600068
2021-09-01,2021,9,39322.849584026815,319232.81,12.31792232885674
2021-10-01,2021,10,38304.26550842291,319232.81,11.998849838906882
2021-11-01,2021,11,38153.63829960985,319232.81,11.951665713687088
2021-12-01,2021,12,37932.68402566336,319232.81,11.882451564318643
2022-01-01,2022,1,39356.53105963769,382955.94,10.277038935507225
2022-02-01,2022,2,43611.98474473629,382955.94,11.388251281527658
2022-03-01,2022,3,46967.901336342686,382955.94,12.264570523789939
2022-04-01,2022,4,51572.50387816632,382955.94,13.466954939559447
2022-05-01,2022,5,49784.706449936835,382955.94,13.000113394229329
2022-06-01,2022,6,48767.95274164202,382955.94,12.734611909046773
2022-07-01,2022,7,45579.40564919906,382955.94,11.901997302665958
2022-08-01,2022,8,46893.960917913704,382955.94,12.245262710356105
2022-09-01,2022,9,45552.086411656084,382955.94,11.894863521807778
2022-10-01,2022,10,45030.145154739475,382955.94,11.75857075222269
2022-11-01,2022,11,44438.10568690317,382955.94,11.603973471962119
2022-12-01,2022,12,43498.00814204091,382955.94,11.35848895359631
2023-01-01,2023,1,42572.57847979506,393502.56,10.818882215097931
2023-02-01,2023,2,43814.33796653852,393502.56,11.134448011351825
2023-03-01,2023,3,44669.675302000964,393502.56,11.351813137378564
2023-04-01,2023,4,46978.50403787269,393502.56,11.938551057424554
2023-05-01,2023,5,48335.66307073248,393502.56,12.283443104088695
2023-06-01,2023,6,49954.28106901574,393502.56,12.694779182380858
2023-07-01,2023,7,49693.92419220266,393502.56,12.628615222275217
2023-08-01,2023,8,47548.50110054325,393502.56,12.083403244071208
2023-09-01,2023,9,45774.13627224141,393502.56,11.632487542709102
2023-10-01,2023,10,43501.99736104284,393502.56,11.055073532696417
2023-11-01,2023,11,44335.31837367484,393502.56,11.266843695673757
2023-12-01,2023,12,44793.94447599593,393502.56,11.383393408163831
2024-01-01,2024,1,44891.48168813913,388686.41,11.549537244726189
2024-02-01,2024,2,44860.10329879636,388686.41,11.541464312785303
2024-03-01,2024,3,45513.90128418022,388686.41,11.709671373429346
2024-04-01,2024,4,46023.38639755466,388686.41,11.840750078592835
2024-05-01,2024,5,47150.732116336985,388686.41,12.130789989888504
2024-06-01,2024,6,46818.99901708953,388686.41,12.045442756048388
2024-07-01,2024,7,46364.73638309875,388686.41,11.928571514270015
2024-08-01,2024,8,46625.86018941425,388686.41,11.995752614405596
2024-09-01,2024,9,46701.340813489776,388686.41,12.015172028651524
2024-10-01,2024,10,46923.29470523129,388686.41,12.072275618082786
2024-11-01,2024,11,45307.50957484747,388686.41,11.656571572658656
2024-12-01,2024,12,43611.46218841311,388686.41,11.220217909963232
