date,year,month,tf_usd_millions,tf_ma3
2017-08-01,2017,8,51080.672866658104,50765.972506011
2017-09-01,2017,9,52093.40597716798,51262.00764044762
2017-10-01,2017,10,50611.944077516775,50461.27391785496
2017-11-01,2017,11,48678.471698880094,48746.90113103623
2017-12-01,2017,12,46950.28761671182,48023.09613226237
2018-01-01,2018,1,48440.52908119517,48130.877942519524
2018-02-01,2018,2,49001.81712965156,49243.54574634888
2018-03-01,2018,3,50288.29102819988,49693.7903151227
2018-04-01,2018,4,49791.26278751664,49506.76877804642
2018-05-01,2018,5,48440.752518422705,48488.809329929405
2018-06-01,2018,6,47234.41268384882,47367.3443549265
2018-07-01,2018,7,46426.867862507934,46795.22880884134
2018-08-01,2018,8,46724.40588016722,45930.998521110894
2018-09-01,2018,9,44641.721820657505,46578.39691701208
2018-10-01,2018,10,48369.06305021149,46825.75429024742
2018-11-01,2018,11,47466.477999873234,47288.62230716279
2018-12-01,2018,12,46030.3258714036,47162.751974908075
2019-01-01,2019,1,47991.45205344733,47766.94232415294
2019-02-01,2019,2,49279.04904760783,48037.715554365044
2019-03-01,2019,3,46842.64556203992,47506.71416851098
2019-04-01,2019,4,46398.44789588515,46401.55638139253
2019-05-01,2019,5,45963.57568625248,46126.16072713269
2019-06-01,2019,6,46016.458599260375,46037.46975111042
2019-07-01,2019,7,46132.37496781836,45490.95734353375
2019-08-01,2019,8,44324.03846352248,44696.93974441608
2019-09-01,2019,9,43634.40580190737,43752.40713649219
2019-10-01,2019,10,43298.77714404669,43319.88128234788
2019-11-01,2019,11,43026.46090108955,43128.42966997313
2019-12-01,2019,12,43060.05096478311,42998.11109420892
2020-01-01,2020,1,42907.82141675405,42616.35178752432
2020-02-01,2020,2,41881.18298103576,43409.509855210665
2020-03-01,2020,3,45439.52516784215,43743.03712848664
2020-04-01,2020,4,43908.40323658199,43631.381177958254
2020-05-01,2020,5,41546.2151294506,43035.179435002916
2020-06-01,2020,6,43650.91993897612,42059.560058454306
2020-07-01,2020,7,40981.54510693616,41332.421743607105
2020-08-01,2020,8,39364.800184909,39566.15687493655
2020-09-01,2020,9,38352.12533296444,38042.052240011864
2020-10-01,2020,10,36409.23120216211,37087.012440819984
2020-11-01,2020,11,36499.68078733337,36617.724936751525
2020-12-01,2020,12,36944.26282075906,36564.024517576625
2021-01-01,2021,1,36248.1299446374,36571.20174889281
2021-02-01,2021,2,36521.212481281924,36250.01432797515
2021-03-01,2021,3,35980.70055800608,36827.11311753182
2021-04-01,2021,4,37979.426313307435,38141.907964252874
2021-05-01,2021,5,40465.597021445086,39705.666377648675
2021-06-01,2021,6,40671.97579819348,40294.41085656669
2021-07-01,2021,7,39745.65975006147,39729.09375184247
2021-08-01,2021,8,38769.64570727241,39279.38501378691
2021-09-01,2021,9,39322.849584026815,38798.92026657405
2021-10-01,2021,10,38304.26550842291,38593.58446401987
2021-11-01,2021,11,38153.63829960985,38130.195944565385
2021-12-01,2021,12,37932.68402566336,38480.95112830364
2022-01-01,2022,1,39356.53105963769,40300.39994334579
2022-02-01,2022,2,43611.98474473629,43312.13904690556
2022-03-01,2022,3,46967.901336342686,47384.1299864151
2022-04-01,2022,4,51572.50387816632,49441.703888148615
2022-05-01,2022,5,49784.706449936835,50041.72102324839
2022-06-01,2022,6,48767.95274164202,48044.02161359264
2022-07-01,2022,7,45579.40564919906,47080.439769584926
2022-08-01,2022,8,46893.960917913704,46008.484326256286
2022-09-01,2022,9,45552.086411656084,45825.39749476975
2022-10-01,2022,10,45030.145154739475,45006.77908443291
2022-11-01,2022,11,44438.10568690317,44322.08632789451
2022-12-01,2022,12,43498.00814204091,43502.89743624637
2023-01-01,2023,1,42572.57847979506,43294.97486279149
2023-02-01,2023,2,43814.33796653852,43685.53058277818
2023-03-01,2023,3,44669.675302000964,45154.17243547072
2023-04-01,2023,4,46978.50403787269,46661.280803535374
2023-05-01,2023,5,48335.66307073248,48422.81605920697
2023-06-01,2023,6,49954.28106901574,49327.956110650295
2023-07-01,2023,7,49693.92419220266,49065.56878725389
2023-08-01,2023,8,47548.50110054325,47672.18718832912
2023-09-01,2023,9,45774.13627224141,45608.21157794251
2023-10-01,2023,10,43501.99736104284,44537.150668986375
2023-11-01,2023,11,44335.31837367484,44210.42007023788
2023-12-01,2023,12,44793.94447599593,44673.581512603305
2024-01-01,2024,1,44891.48168813913,44848.509820977146
2024-02-01,2024,2,44860.10329879636,45088.49542370524
2024-03-01,2024,3,45513.90128418022,45465.79699351042
2024-04-01,2024,4,46023.38639755466,46229.33993269063
2024-05-01,2024,5,47150.732116336985,46664.37251032706
2024-06-01,2024,6,46818.99901708953,46778.15583884177
2024-07-01,2024,7,46364.73638309875,46603.19852986752
2024-08-01,2024,8,46625.86018941425,46563.9791286676
2024-09-01,2024,9,46701.340813489776,46750.16523604511
2024-10-01,2024,10,46923.29470523129,46310.71503118952
2024-11-01,2024,11,45307.50957484747,45280.75548949729
2024-12-01,2024,12,43611.46218841311,NA
