period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Eastern Europe,country_data,44,ROMANIA,255.0,121.0,9.0,385.0,264.0,0.0,476.0,1928.0,0.0,2404.0,475.0,223.0,72.0,13.0,0.0,85.0,72.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Eastern Europe,country_data,45,RUSSIA,1317.0,235.0,0.0,1552.0,1331.0,38.0,97.0,3302.0,0.0,3399.0,97.0,1627.0,18.0,1015.0,0.0,1033.0,18.0,16.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Eastern Europe,country_data,46,TURKEY,5252.0,53.0,188.0,5493.0,5542.0,0.0,778.0,1613.0,0.0,2391.0,877.0,263.0,255.0,77.0,2.0,334.0,282.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Eastern Europe,country_data,47,OTHER E. EUROPE,384.0,1.0,41.0,426.0,388.0,1.0,2267.0,1130.0,43.0,3440.0,2535.0,0.0,300.0,0.0,1.0,301.0,204.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Latin America and Caribbean,country_data,51,ANGUILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,31.0,84.0,53.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Latin America and Caribbean,country_data,52,ARGENTINA,525.0,52.0,0.0,577.0,517.0,2.0,211.0,4167.0,4.0,4382.0,211.0,589.0,33.0,46.0,0.0,79.0,36.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Latin America and Caribbean,country_data,53,BRAZIL,8835.0,2702.0,385.0,11922.0,3811.0,2.0,20238.0,31942.0,0.0,52180.0,20238.0,5722.0,1967.0,4352.0,1322.0,7641.0,1713.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Latin America and Caribbean,country_data,54,CHILE,5868.0,22.0,382.0,6272.0,5891.0,0.0,199.0,3552.0,0.0,3751.0,199.0,0.0,851.0,2585.0,68.0,3504.0,862.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Latin America and Caribbean,country_data,55,COLOMBIA,1952.0,50.0,137.0,2139.0,2343.0,1.0,219.0,1893.0,4.0,2116.0,213.0,0.0,280.0,796.0,190.0,1266.0,425.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,Latin America and Caribbean,country_data,56,COSTA RICA,45.0,172.0,0.0,217.0,51.0,65.0,38.0,834.0,0.0,872.0,38.0,151.0,47.0,0.0,0.0,47.0,57.0,0.0
