period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,53,ARGENTINA,779.0,310.0,1089.0,1025.0,129.0,1154.0,13.0,2256.0,1223.0,414.0,1637.0,272.0,9.0,281.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,54,BRAZIL,18670.0,1925.0,20595.0,5854.0,44.0,5898.0,1395.0,27888.0,19019.0,1993.0,21012.0,1720.0,0.0,1720.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,55,CHILE,1706.0,182.0,1888.0,768.0,0.0,768.0,435.0,3091.0,2016.0,225.0,2241.0,5.0,0.0,5.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,56,COLOMBIA,1324.0,329.0,1653.0,440.0,0.0,440.0,189.0,2282.0,1570.0,238.0,1808.0,118.0,0.0,118.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,57,COSTA RICA,85.0,29.0,114.0,17.0,0.0,17.0,30.0,161.0,254.0,46.0,300.0,2.0,0.0,2.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,58,DOMINICAN REPUBLIC,267.0,105.0,372.0,24.0,0.0,24.0,14.0,410.0,449.0,170.0,619.0,3.0,0.0,3.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,59,ECUADOR,206.0,165.0,371.0,208.0,0.0,208.0,1.0,580.0,576.0,208.0,784.0,246.0,0.0,246.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,60,EL SALVADOR,132.0,39.0,171.0,14.0,0.0,14.0,0.0,185.0,184.0,75.0,259.0,21.0,0.0,21.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,61,FRENCH GUIANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,Latin America and Caribbean,country_data,62,GUATEMALA,425.0,75.0,500.0,4.0,0.0,4.0,14.0,518.0,450.0,125.0,575.0,1.0,0.0,1.0
