period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2023Q1,2023,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,66,VENEZUELA,675.0,0.0,404.0,0.0,675.0,394.0,81.0,360.0
2023Q1,2023,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,67,OTHER LAT. AM. & CAR.,3871.0,359.0,2482.0,0.0,4230.0,1885.0,493.0,2838.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,71,CHINA-MAINLAND,5150.0,452.0,2491.0,1647.0,7249.0,884.0,1444.0,7802.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,72,INDIA,748.0,25.0,599.0,1855.0,2628.0,619.0,165.0,2173.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,73,INDONESIA,512.0,44.0,417.0,5.0,561.0,332.0,15.0,202.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,74,"KOREA, SOUTH",4297.0,97.0,4073.0,80.0,4474.0,330.0,541.0,4686.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,75,KUWAIT,2312.0,76.0,2269.0,0.0,2388.0,47.0,117.0,2459.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,76,MALAYSIA,352.0,0.0,290.0,45.0,397.0,1.0,3.0,399.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,77,PAKISTAN,5.0,0.0,5.0,0.0,5.0,4.0,1.0,2.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,78,PHILIPPINES,187.0,57.0,228.0,89.0,333.0,106.0,25.0,252.0
