period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,58,EL SALVADOR,72.0,0.0,55.0,0.0,72.0,36.0,9.0,44.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,59,FRENCH GUIANA,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,60,GUATEMALA,536.0,137.0,498.0,0.0,673.0,109.0,22.0,448.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,61,HONDURAS,206.0,0.0,181.0,0.0,206.0,114.0,13.0,104.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,62,MEXICO,4833.0,2471.0,2555.0,5418.0,12722.0,2183.0,1510.0,9598.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,63,MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,64,PERU,898.0,982.0,579.0,0.0,1880.0,327.0,95.0,666.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,65,URUGUAY,506.0,0.0,304.0,0.0,506.0,183.0,83.0,407.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,66,VENEZUELA,548.0,13482.0,309.0,0.0,14030.0,293.0,89.0,344.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,67,OTHER LAT. AM. & CAR.,4347.0,615.0,2957.0,0.0,4962.0,2325.0,1207.0,3571.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,subtotal,68,Total,22336.0,44830.0,14005.0,6574.0,73740.0,8185.0,5250.0,26540.0
2024Q1,2024,Q1,Table 2,2,All Others,Latin America and Caribbean,empty,69,,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,region_header,70,Asia and Pacific,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,71,CHINA-MAINLAND,3767.0,299.0,1087.0,1908.0,5974.0,598.0,513.0,5873.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,72,INDIA,771.0,17.0,578.0,2174.0,2962.0,643.0,151.0,2470.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,73,INDONESIA,537.0,1.0,351.0,4.0,542.0,304.0,292.0,530.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,74,"KOREA, SOUTH",3679.0,2.0,2874.0,165.0,3846.0,238.0,378.0,3986.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,75,KUWAIT,1831.0,0.0,1732.0,0.0,1831.0,52.0,85.0,1864.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,76,MALAYSIA,378.0,0.0,311.0,48.0,426.0,3.0,168.0,591.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,77,PAKISTAN,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,78,PHILIPPINES,210.0,61.0,239.0,76.0,347.0,199.0,106.0,254.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,79,QATAR,888.0,0.0,637.0,0.0,888.0,6.0,21.0,903.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,80,SAUDI ARABIA,1297.0,0.0,1011.0,53.0,1350.0,14.0,32.0,1368.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,81,TAIWAN,1554.0,0.0,991.0,302.0,1856.0,11.0,449.0,2288.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,82,THAILAND,130.0,1.0,86.0,108.0,239.0,60.0,13.0,192.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,83,UNITED ARAB EMIRATES,1915.0,2.0,1415.0,2.0,1919.0,146.0,306.0,2080.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,84,WEST BANK AND GAZA,20.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,country_data,85,OTHER ASIA AND PACIFIC,1674.0,72.0,429.0,8.0,1754.0,848.0,133.0,965.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,subtotal,86,Total,18653.0,455.0,11742.0,4848.0,23956.0,3123.0,2647.0,23385.0
2024Q1,2024,Q1,Table 2,2,All Others,Asia and Pacific,empty,87,,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Others,Africa,region_header,88,Africa,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Others,Africa,country_data,89,ALGERIA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2024Q1,2024,Q1,Table 2,2,All Others,Africa,country_data,90,EGYPT,184.0,0.0,156.0,0.0,184.0,52.0,1.0,133.0
2024Q1,2024,Q1,Table 2,2,All Others,Africa,country_data,91,GHANA,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
2024Q1,2024,Q1,Table 2,2,All Others,Africa,country_data,92,KENYA,9.0,173.0,9.0,0.0,182.0,3.0,0.0,6.0
2024Q1,2024,Q1,Table 2,2,All Others,Africa,country_data,93,MOROCCO,26.0,905.0,13.0,0.0,931.0,5.0,0.0,21.0
2024Q1,2024,Q1,Table 2,2,All Others,Africa,country_data,94,NIGERIA,193.0,0.0,188.0,0.0,193.0,18.0,5.0,180.0
2024Q1,2024,Q1,Table 2,2,All Others,Africa,country_data,95,SAINT HELENA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q1,2024,Q1,Table 2,2,All Others,Africa,country_data,96,SOUTH AFRICA,352.0,1065.0,326.0,0.0,1417.0,85.0,58.0,326.0
2024Q1,2024,Q1,Table 2,2,All Others,Africa,country_data,97,SOUTH SUDAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q1,2024,Q1,Table 2,2,All Others,Africa,country_data,98,OTHER AFRICA,435.0,0.0,118.0,0.0,435.0,142.0,14.0,306.0
2024Q1,2024,Q1,Table 2,2,All Others,Africa,subtotal,99,Total,1202.0,2143.0,812.0,0.0,3345.0,305.0,78.0,975.0
2024Q1,2024,Q1,Table 2,2,All Others,Africa,empty,100,,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Others,Banking Centers,region_header,101,Banking Centers,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Others,Banking Centers,country_data,102,BAHAMAS,6338.0,0.0,6030.0,0.0,6338.0,5880.0,198.0,656.0
2024Q1,2024,Q1,Table 2,2,All Others,Banking Centers,country_data,103,BAHRAIN,455.0,0.0,183.0,0.0,455.0,179.0,0.0,276.0
2024Q1,2024,Q1,Table 2,2,All Others,Banking Centers,country_data,104,BERMUDA,6549.0,38.0,2880.0,12.0,6599.0,484.0,368.0,6477.0
2024Q1,2024,Q1,Table 2,2,All Others,Banking Centers,country_data,105,CAYMAN ISLANDS,75189.0,118.0,46427.0,0.0,75307.0,20560.0,3934.0,58467.0
2024Q1,2024,Q1,Table 2,2,All Others,Banking Centers,country_data,106,HONG KONG,2825.0,828.0,2613.0,1618.0,5271.0,1067.0,649.0,4843.0
2024Q1,2024,Q1,Table 2,2,All Others,Banking Centers,country_data,107,LEBANON,34.0,0.0,3.0,0.0,34.0,8.0,1.0,27.0
2024Q1,2024,Q1,Table 2,2,All Others,Banking Centers,country_data,108,MAURITIUS,40.0,0.0,7.0,0.0,40.0,2.0,1.0,39.0
2024Q1,2024,Q1,Table 2,2,All Others,Banking Centers,country_data,109,PANAMA,1238.0,13751.0,876.0,0.0,14989.0,622.0,173.0,788.0
2024Q1,2024,Q1,Table 2,2,All Others,Banking Centers,country_data,110,SINGAPORE,7087.0,671.0,5226.0,1457.0,9215.0,893.0,172.0,8481.0
