period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,29,ISRAEL,0.0,3.0,3.0,225.0,-4.0,223.0,43.0,0.0,670.0,0.0,24.0,646.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,30,NEW ZEALAND,1.0,41.0,42.0,633.0,288.0,161.0,9.0,0.0,1.0,0.0,0.0,1.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,31,NORWAY,1.0,122.0,123.0,1010.0,-33.0,1856.0,34.0,4.0,138.0,0.0,0.0,138.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,32,PORTUGAL,0.0,0.0,0.0,170.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,33,SLOVAKIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,34,SPAIN,143.0,324.0,467.0,831.0,604.0,566.0,133.0,31.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,35,OTHER NON G-10 DEV.,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,subtotal,36,Total,11313.0,11417.0,22730.0,37883.0,-5516.0,10243.0,642.0,76.0,4032.0,0.0,807.0,3845.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,empty,37,,,,,,,,,,,,,
2023Q1,2023,Q1,Table 3,3,All Others,Eastern Europe,region_header,38,Eastern Europe,,,,,,,,,,,,
2023Q1,2023,Q1,Table 3,3,All Others,Eastern Europe,country_data,39,BULGARIA,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Eastern Europe,country_data,40,CZECH REPUBLIC,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Eastern Europe,country_data,41,HUNGARY,1.0,26.0,27.0,5.0,815.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Eastern Europe,country_data,42,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Eastern Europe,country_data,43,POLAND,1.0,204.0,205.0,185.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Eastern Europe,country_data,44,ROMANIA,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Eastern Europe,country_data,45,RUSSIA,0.0,4.0,4.0,159.0,54.0,2.0,0.0,0.0,5.0,0.0,5.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Eastern Europe,country_data,46,TURKEY,0.0,0.0,0.0,302.0,0.0,13.0,4.0,0.0,2.0,0.0,2.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Eastern Europe,country_data,47,OTHER E. EUROPE,0.0,1.0,1.0,92.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Eastern Europe,subtotal,48,Total,2.0,236.0,238.0,817.0,944.0,44.0,5.0,0.0,7.0,0.0,7.0,0.0
