period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,75,"KOREA, SOUTH",2895.0,4.0,58.0,2957.0,2852.0,73.0,1649.0,63.0,9.0,1721.0,1603.0,0.0,201.0,93.0,88.0,382.0,194.0,93.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,76,KUWAIT,460.0,0.0,0.0,460.0,407.0,0.0,2123.0,0.0,2.0,2125.0,2068.0,0.0,4.0,84.0,0.0,88.0,4.0,84.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,77,MALAYSIA,263.0,37.0,7.0,307.0,262.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,78,PAKISTAN,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,79,PHILIPPINES,120.0,51.0,0.0,171.0,139.0,35.0,11.0,2.0,0.0,13.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,80,QATAR,899.0,0.0,0.0,899.0,773.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,81,SAUDI ARABIA,408.0,52.0,4.0,464.0,409.0,0.0,714.0,0.0,3.0,717.0,678.0,0.0,177.0,82.0,0.0,259.0,173.0,79.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,82,TAIWAN,990.0,24.0,3.0,1017.0,794.0,3.0,0.0,38.0,1.0,39.0,0.0,0.0,1737.0,159.0,11.0,1907.0,1585.0,152.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,83,THAILAND,11.0,0.0,0.0,11.0,42.0,0.0,16.0,11.0,2.0,29.0,16.0,0.0,6.0,0.0,2.0,8.0,6.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,84,UNITED ARAB EMIRATES,950.0,3.0,4.0,957.0,1012.0,3.0,267.0,0.0,5.0,272.0,251.0,0.0,44.0,9.0,0.0,53.0,8.0,9.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,85,WEST BANK AND GAZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Asia and Pacific,country_data,86,OTHER ASIA AND PACIFIC,259.0,0.0,0.0,259.0,311.0,0.0,140.0,0.0,18.0,158.0,579.0,0.0,148.0,0.0,1.0,149.0,401.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Africa,country_data,90,ALGERIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Africa,country_data,91,EGYPT,20.0,0.0,0.0,20.0,34.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Africa,country_data,92,GHANA,27.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Africa,country_data,93,KENYA,69.0,0.0,0.0,69.0,69.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Africa,country_data,94,MOROCCO,11.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Africa,country_data,95,NIGERIA,361.0,0.0,0.0,361.0,384.0,0.0,19.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Africa,country_data,96,SAINT HELENA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Africa,country_data,97,SOUTH AFRICA,94.0,0.0,0.0,94.0,62.0,0.0,11.0,0.0,0.0,11.0,11.0,0.0,11.0,0.0,0.0,11.0,11.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Africa,country_data,98,SOUTH SUDAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Africa,country_data,99,OTHER AFRICA,41.0,0.0,0.0,41.0,40.0,0.0,41.0,0.0,0.0,41.0,41.0,0.0,23.0,0.0,0.0,23.0,32.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Banking Centers,country_data,103,BAHAMAS,123.0,0.0,0.0,123.0,69.0,0.0,4.0,0.0,0.0,4.0,3.0,0.0,11.0,0.0,21.0,32.0,1579.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Banking Centers,country_data,104,BAHRAIN,7.0,0.0,1.0,8.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,205.0,205.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Banking Centers,country_data,105,BERMUDA,297.0,11.0,0.0,308.0,297.0,13.0,3.0,0.0,0.0,3.0,3.0,0.0,2594.0,16.0,40.0,2650.0,2702.0,16.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Banking Centers,country_data,106,CAYMAN ISLANDS,272.0,0.0,0.0,272.0,18761.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,59062.0,27.0,400.0,59489.0,69082.0,11.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Banking Centers,country_data,107,HONG KONG,2891.0,551.0,10.0,3452.0,2529.0,707.0,14.0,760.0,7.0,781.0,88.0,0.0,401.0,52.0,15.0,468.0,402.0,46.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Banking Centers,country_data,108,LEBANON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Banking Centers,country_data,109,MAURITIUS,2.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0,90.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Banking Centers,country_data,110,PANAMA,431.0,0.0,3.0,434.0,578.0,0.0,55.0,0.0,0.0,55.0,55.0,0.0,24.0,0.0,1.0,25.0,22.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Banking Centers,country_data,111,SINGAPORE,2375.0,234.0,4.0,2613.0,6734.0,40.0,2848.0,1090.0,1.0,3939.0,2817.0,0.0,30959.0,30.0,7.0,30996.0,30967.0,31.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Banking Centers,country_data,112,OTHER BANKING CENTERS,185.0,17.0,11.0,213.0,63.0,0.0,31.0,0.0,0.0,31.0,30.0,0.0,2771.0,202.0,185.0,3158.0,2390.0,182.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,International & Regional Organizations,country_data,116,AFRICAN,0.0,0.0,0.0,0.0,0.0,0.0,1070.0,0.0,0.0,1070.0,1070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,International & Regional Organizations,country_data,120,INTERNATIONAL,0.0,0.0,0.0,0.0,0.0,0.0,7178.0,0.0,2.0,7180.0,7178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,International & Regional Organizations,country_data,121,LATIN AMERICAN,0.0,0.0,0.0,0.0,0.0,0.0,4684.0,0.0,0.0,4684.0,4684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,International & Regional Organizations,country_data,125,UNITED STATES,6045.0,147125.0,9264.0,162434.0,5901.0,14275.0,10138.0,1904022.0,367.0,1914527.0,9494.0,36934.0,3905.0,1561069.0,13765.0,1578739.0,1780.0,12162.0
