date,B. BBVA Perú,BanBif (Banco Interamericano de Finanzas),Banco de Crédito del Perú,Interbank,Scotiabank Perú
2016-01-01,1628.7885944370835,274.378679122494,1107.6617765527774,520.6071919019366,1266.944608475455
2016-02-01,1746.9037120897513,287.3448087113157,1086.7665698465378,505.3678640626321,1192.5586759282899
2016-03-01,1723.5825646628984,302.57454158898224,1050.7703796986827,372.7007471101223,1081.7785865038788
2016-04-01,1613.781343061997,312.9532353124242,987.3656188400047,364.88398286246036,1115.3408451946555
2016-05-01,1564.3159067312822,318.45277946529177,970.0413055931003,377.194735334045,1031.459968563637
2016-06-01,1604.9807420528089,316.12891001185045,894.5942596426727,397.0087438880621,1100.54831852876
2016-07-01,1640.5766770101586,330.85502983287154,1029.2615590669413,491.0992381207738,1075.6558865284348
2016-08-01,1656.8433302173526,323.064773039996,1143.7324669994696,519.3008080933032,1057.0401028420804
2016-09-01,1688.0154869046928,312.34667186083436,1067.5364457055396,391.28681937069473,1089.2457750191325
2016-10-01,1744.6992356629019,321.54867049643224,940.6878442598104,398.3340130439952,1016.6188378626633
2016-11-01,1599.5438266758465,315.15168017988987,942.6494551623106,382.9601516494776,1073.6022212996604
2016-12-01,1759.1613835745775,267.33351428401244,1063.4874956903734,421.91963859899903,1003.8123206933527
2017-01-01,1732.1600218164656,317.56439513903683,1178.7146384003895,458.7687021441847,1055.7612433649072
2017-02-01,1653.8991814949898,312.0800918477428,1222.1183653958137,484.32782984768187,1080.9388119832045
2017-03-01,1564.3047365571556,324.23061954903454,1120.917424655469,425.4985985049835,1318.7740999107916
2017-04-01,1425.935054135849,358.4653380824713,1104.1417175604047,452.6796470845659,1350.3967693571255
2017-05-01,1524.1505143982895,368.7156988057423,1208.2805653390344,435.85368142944435,1284.7561028924858
2017-06-01,1553.7675092010209,375.7802296012792,1227.7176382028347,439.6808088228966,1062.4886013895305
2017-07-01,1308.83955353286,423.59229418697896,1184.6980125979633,449.1700604535635,1191.614491499538
2017-08-01,1447.4119699494327,420.2611306302418,1090.3705325357673,394.8432076991856,1136.837612977923
2017-09-01,1741.963664052408,433.34370609483614,1021.5798135365975,418.26085186885837,1182.3211074540059
2017-10-01,1864.6743008277201,448.0665709006425,981.3024496107577,391.81999803686296,1123.9598823256104
2017-11-01,1973.8514959648062,428.30793962642804,1049.855535143563,379.2828735720901,1257.107100046311
2017-12-01,1892.772524606603,406.3684442116629,1051.435585254551,412.0543516908362,1071.2129915674177
2018-01-01,1816.5822420491293,429.53469729477587,1091.733294990671,421.2654304757459,1244.4355763557217
2018-02-01,1719.37034788672,450.89567714776143,1247.1705139669598,403.6004479909278,1442.9227625157037
2018-03-01,1803.6380611870024,446.51861082303327,1150.216453185887,472.2562561750769,1540.607113706902
2018-04-01,1735.8167039444943,483.3260927048397,1231.7109985908137,520.4605132888215,1574.3653624226902
2018-05-01,1854.2847747678634,471.5641698808804,1348.9766718478922,675.0734760171043,1657.6206357086178
2018-06-01,1895.2042516663128,499.00690135626394,1296.9234835232305,697.8890958273519,1712.2887565659676
2018-07-01,1919.2789151226402,494.97249453251544,1243.8512838510655,700.9986578514919,1641.4794348452883
2018-08-01,1849.9149830114313,496.77265709650993,1106.397449316273,718.6231852096665,1483.076270892337
2018-09-01,1964.230552769692,491.5319617090908,1093.3577927878782,729.5957889333332,1628.573291006062
2018-10-01,1988.3771099287376,470.7281459857483,1033.104451353919,700.0571956294541,1549.075073815321
2018-11-01,1762.0467462022705,467.01951279997695,1093.1932153416474,666.2768541435157,1474.945088757532
2018-12-01,1606.9204216268254,479.83740861992345,1226.3921972303685,598.795608442193,1507.9072148315956
2019-01-01,1676.0463080462189,494.1843080972386,1175.4986408463383,607.5728151920778,1317.6571370408158
2019-02-01,1614.6477802736329,501.25784798256507,1112.3349623664374,629.0644328722346,1285.3958510215816
2019-03-01,1782.84741821221,464.14630789085334,1068.7998387344528,552.7404880673427,1094.495003002741
2019-04-01,1719.64629089453,478.48446048957373,1094.9820253913572,535.3413995920222,1207.587917645814
2019-05-01,1725.8838045830248,437.6813162109316,1172.9537093201009,616.9006504369728,1146.5649692193754
2019-06-01,1711.8239655106395,476.92710810942253,1240.6800268784198,645.6544579817631,1147.094306048632
2019-07-01,1564.4182140466417,483.81219539934824,1269.3307410192122,685.4968132129048,1004.2591866874085
2019-08-01,1685.922656040141,473.15884924811013,1208.55636571025,690.7174945351818,1043.6173478708697
2019-09-01,1734.475145861774,477.0813889666988,1162.0385078686893,649.916938261975,1023.6929000945547
2019-10-01,1761.29313559231,465.31622285048917,1099.400633380105,631.353037249224,986.1518232594938
2019-11-01,1863.7754437672809,469.8237898905823,1064.6126226895697,620.9820535619749,900.4474202247185
2019-12-01,1673.2260667652383,460.588023886542,1031.2209218617984,710.3861497042847,784.6946769251662
2020-01-01,1572.5830435265216,474.292693618281,1043.2908110081698,699.6866620116036,747.4129577285107
2020-02-01,1640.9270875541954,478.7140552228451,954.4248010376325,700.2094713191516,742.2768528556562
2020-03-01,1844.1042720991102,531.6616371982784,1023.6866423079157,654.6066327022626,866.6043741348219
2020-04-01,1764.5785407143487,532.4211230300706,1048.8689684870346,656.2904119925493,921.4905723455847
2020-05-01,1765.8645787832875,529.8068607132453,995.1897401724834,615.6448307849193,969.4170898578172
2020-06-01,1783.0435894594284,512.0055395581759,928.3436510495433,604.7661646371748,917.4067052731077
2020-07-01,1603.8400297720511,477.30993928075907,962.955442251169,584.8125937420361,934.1793582811839
2020-08-01,1489.0357255872314,459.30113723599277,860.5966085666752,501.4413972562953,797.0354212869756
2020-09-01,1305.324711503097,421.36054047334676,699.8865120197777,464.62669603044554,664.1512877357701
2020-10-01,1238.9514531986722,393.4738551798566,633.3173619479808,387.57343338682864,594.0899712894301
2020-11-01,1071.3031821153318,409.4879553617962,625.8967222373165,393.01201161907335,567.4910195758251
2020-12-01,1007.1627110028704,421.0070851694448,700.4676453609675,373.0955939286897,592.2423669803518
2021-01-01,1154.4778075173099,422.59925042312335,743.4225435789655,386.9601960132982,686.0663312479396
2021-02-01,1174.9757105733145,420.5532203686962,767.2667225847094,405.0866536171144,761.720741142794
2021-03-01,1217.24857655435,428.65268853933867,690.3910375598845,451.6510332055788,853.3552460875111
2021-04-01,1253.9787252222545,425.3572610335825,621.2423555834013,477.18907512596695,992.7314838895197
2021-05-01,1336.94070473243,441.9172130820858,711.3219933087837,589.0583607276233,1051.5207324610194
2021-06-01,1300.2308672858705,443.1853485310118,967.9272259728486,559.3849143712101,983.7639155500287
2021-07-01,1241.2192018533128,447.3708120662459,1063.817654936416,574.8976386977517,1148.6380690851734
2021-08-01,1210.0519094943375,438.0688939476963,1102.7900652591925,599.0793144506689,1123.5047477603537
2021-09-01,1141.3766713639882,443.8306744584658,1057.5631550261094,597.6627326274064,1130.869005649841
2021-10-01,1215.6019466354344,450.4240455531612,1028.9472222116449,615.090731806794,1067.509522559876
2021-11-01,1306.9094085358056,466.9788325545944,1016.159288825496,593.4771589046825,1007.8732030739724
2021-12-01,1227.5229344011634,475.69165268461444,1209.6598199303157,681.3258987216116,959.1309718554168
2022-01-01,1330.332349426364,490.9711099612376,1244.5070091807795,691.2564490985719,1006.8972187934128
2022-02-01,1389.4744221010344,496.0207052539169,1153.2874308531307,681.3462734883342,1026.3747132239105
2022-03-01,1606.387030312711,510.2048089643964,1193.2871372681745,626.5148435142823,1102.9556619304185
2022-04-01,1633.4891976645993,504.84515348485695,1243.8296758119163,646.3194387999793,1154.0548616170565
2022-05-01,1647.1892500161928,514.0512204890156,1248.7790100043183,758.4718086684301,1213.4976507097747
2022-06-01,1622.6361445219989,525.4847493922053,1481.2021683580376,749.0720265992203,1227.1486567903173
2022-07-01,1663.3951970604737,542.2562710967771,1587.170463642157,894.8027808816029,1224.3117056113604
