"date","hhi","cr5"
2015-04-01,1971.85916488973,87.3689016039224
2015-05-01,2062.20593189762,88.827757373396
2015-06-01,2130.96229511988,89.6910177930463
2015-07-01,2114.14066673796,89.3422601287737
2015-08-01,2089.09593695714,89.6577673846362
2015-09-01,2062.92295691364,89.602808892776
2015-10-01,2004.38222378091,89.1592659897204
2015-11-01,2025.04198029854,89.1146343972813
2015-12-01,2150.21054645761,89.7096269192875
2016-01-01,2079.60747074445,89.9980237354914
2016-02-01,2145.34435645408,90.6701344320817
2016-03-01,2153.46020973626,89.1705524576693
2016-04-01,2078.20622380301,88.276388667063
2016-05-01,2028.41847888232,87.5944568744668
2016-06-01,2016.1590914326,86.9007940626429
2016-07-01,1944.43376782968,86.6753413211493
2016-08-01,1982.98731949369,87.9811838630109
2016-09-01,2083.49270431693,88.2814753227732
2016-10-01,2116.69356488696,88.1739888923906
2016-11-01,2053.24690277789,87.9273769910262
2016-12-01,2214.11359148175,90.2283274139
2017-01-01,2141.3349696405,90.4952449980693
2017-02-01,2098.86015436123,90.4601568383557
2017-03-01,2101.12676574858,90.5054378972852
2017-04-01,2014.18027909289,89.9043658253803
2017-05-01,2038.87347831359,90.1449606111484
2017-06-01,2025.44891921003,89.7209943264876
2017-07-01,1930.18622265977,89.6250804287931
2017-08-01,1982.71611810073,89.5324812087075
2017-09-01,2101.56383351023,90.4565867887105
2017-10-01,2192.16720888302,91.0174995129451
2017-11-01,2244.83610574286,91.2801888824289
2017-12-01,2211.27921727169,91.0537313762942
2018-01-01,2128.61406309739,90.7463696184587
2018-02-01,2125.68960895228,91.5601595322939
2018-03-01,2110.97818096321,91.1597554413162
2018-04-01,2051.80072621323,91.1667080245434
2018-05-01,2011.40125241575,90.9440622651698
2018-06-01,1997.97133073408,90.6831829576562
2018-07-01,1974.87596885041,90.0179959939785
2018-08-01,1881.23345754329,87.9938767689457
2018-09-01,1938.15875011249,88.4906788314089
2018-10-01,1961.16968605323,88.3586475078675
2018-11-01,1877.96582608409,87.6915849665819
2018-12-01,1890.40440748798,88.5898971749108
2019-01-01,1849.30820037268,87.7016944621551
2019-02-01,1802.16210403328,87.026657895951
2019-03-01,1890.44193572145,86.7546843233847
2019-04-01,1854.29996331573,86.4331419530428
2019-05-01,1864.2204475303,87.113729006281
2019-06-01,1834.64637710995,87.1705631639833
2019-07-01,1775.97093108695,86.7056139471567
2019-08-01,1824.86341792938,87.2926121575938
2019-09-01,1883.04839038085,88.1263690167335
2019-10-01,1906.59270083672,87.9982793684073
2019-11-01,1970.93803706118,88.1466815069535
2019-12-01,1920.37759756726,88.7504109057983
2020-01-01,1829.60535273555,87.1584409645402
2020-02-01,1876.1611970126,87.6553040605622
2020-03-01,1920.50358269745,87.7809686869047
2020-04-01,1853.59582266767,87.1412827654418
2020-05-01,1870.55208193779,87.2313588114157
2020-06-01,1930.35601960423,87.854700264552
2020-07-01,1864.63638765542,87.5544490824746
2020-08-01,1890.16323873363,87.6408714068578
2020-09-01,1849.00694447687,86.6220472634077
2020-10-01,1850.61852575612,85.2107896103584
2020-11-01,1758.92417564081,85.473391287498
2020-12-01,1784.22787710778,87.4509663395022
2021-01-01,1855.7133487767,88.1617968324066
2021-02-01,1855.54204340358,88.3927337104521
2021-03-01,1871.74573977304,88.8800873871687
2021-04-01,1898.24219630041,88.7192470762154
2021-05-01,1877.57126431542,89.2482568457984
2021-06-01,1840.82767108573,89.2104124680168
2021-07-01,1818.17400584579,88.7923248098381
2021-08-01,1812.51456522327,88.8597285580853
2021-09-01,1799.34388649369,88.9083439430986
2021-10-01,1792.70396487794,88.7457254831572
2021-11-01,1820.20208560194,89.0291260817143
2021-12-01,1808.34476786845,89.5262594204729
2022-01-01,1835.31460821646,90.0013273993638
2022-02-01,1811.10109126034,89.1651026360415
2022-03-01,1873.18841778933,89.0425012805897
2022-04-01,1865.42043399895,88.768715839476
