"date","bank_type","tf_usd_millions"
2015-07-01,"Other Domestic",2001.18561678937
2015-08-01,"Consumer/Retail",0
2015-08-01,"Foreign",1629.11636641653
2015-08-01,"Large Domestic",2352.4104477086
2015-08-01,"Other Domestic",1990.70258351553
2015-09-01,"Consumer/Retail",0
2015-09-01,"Foreign",1633.15806854299
2015-09-01,"Large Domestic",2437.88466144399
2015-09-01,"Other Domestic",1939.20220653455
2015-10-01,"Consumer/Retail",0
2015-10-01,"Foreign",1469.18876238593
2015-10-01,"Large Domestic",2372.99074294622
2015-10-01,"Other Domestic",1835.02131605122
2015-11-01,"Consumer/Retail",0
2015-11-01,"Foreign",1495.62133440341
2015-11-01,"Large Domestic",2255.42378883525
2015-11-01,"Other Domestic",1724.89052610833
2015-12-01,"Consumer/Retail",0
2015-12-01,"Foreign",1405.51316139806
2015-12-01,"Large Domestic",2208.9246144435
2015-12-01,"Other Domestic",1684.15371863006
2016-01-01,"Consumer/Retail",0
2016-01-01,"Foreign",1444.21306139087
2016-01-01,"Large Domestic",2149.39578633902
2016-01-01,"Other Domestic",1738.04250562918
2016-02-01,"Consumer/Retail",0
2016-02-01,"Foreign",1351.60316966216
2016-02-01,"Large Domestic",2252.27157615238
2016-02-01,"Other Domestic",1710.93112805151
2016-03-01,"Consumer/Retail",0
2016-03-01,"Foreign",1281.7710547062
2016-03-01,"Large Domestic",2096.28331177302
2016-03-01,"Other Domestic",1703.67575032778
2016-04-01,"Consumer/Retail",0
2016-04-01,"Foreign",1325.33503569075
2016-04-01,"Large Domestic",1978.66532592446
2016-04-01,"Other Domestic",1673.91626096534
2016-05-01,"Consumer/Retail",0
2016-05-01,"Foreign",1258.87473458711
2016-05-01,"Large Domestic",1941.51064206533
2016-05-01,"Other Domestic",1664.60819456696
2016-06-01,"Consumer/Retail",0
2016-06-01,"Foreign",1354.39517222509
2016-06-01,"Large Domestic",2001.98948594087
2016-06-01,"Other Domestic",1607.04636757923
2016-07-01,"Consumer/Retail",0
2016-07-01,"Foreign",1350.27131875056
2016-07-01,"Large Domestic",2131.67591513093
2016-07-01,"Other Domestic",1787.65807824053
2016-08-01,"Consumer/Retail",0
2016-08-01,"Foreign",1286.22967551982
2016-08-01,"Large Domestic",2176.14413831066
2016-08-01,"Other Domestic",1879.65646449608
