"date","size_category","tf_usd_millions"
2016-03-01,"Corporate",2360.53796566127
2016-03-01,"Large",2040.09485985746
2016-03-01,"Medium",665.715348267877
2016-03-01,"Small",13.7932635743069
2016-03-01,"Micro",1.58867944608167
2016-04-01,"Corporate",2201.67857178728
2016-04-01,"Large",2073.54771755858
2016-04-01,"Medium",687.624299743714
2016-04-01,"Small",13.8897728368318
2016-04-01,"Micro",1.17626065413717
2016-05-01,"Corporate",2131.35337171142
2016-05-01,"Large",2050.31266850139
2016-05-01,"Medium",667.446099828087
2016-05-01,"Small",13.1406280307072
2016-05-01,"Micro",2.74080314778588
2016-06-01,"Corporate",2247.92286750934
2016-06-01,"Large",2043.85891035216
2016-06-01,"Medium",654.320640481906
2016-06-01,"Small",15.3040784722433
2016-06-01,"Micro",2.02452892953724
2016-07-01,"Corporate",2518.47247014627
2016-07-01,"Large",2053.06519954122
2016-07-01,"Medium",680.659455170256
2016-07-01,"Small",16.0028346828731
2016-07-01,"Micro",1.40535258140436
2016-08-01,"Corporate",2607.42360132238
2016-08-01,"Large",2028.39544735525
2016-08-01,"Medium",691.143384016611
2016-08-01,"Small",13.8200618159863
2016-08-01,"Micro",1.24778381633975
2016-09-01,"Corporate",2461.26598730794
2016-09-01,"Large",1978.98749919644
2016-09-01,"Medium",694.676411408725
2016-09-01,"Small",15.9369693589215
2016-09-01,"Micro",1.32523444693001
2016-10-01,"Corporate",2416.06051574614
2016-10-01,"Large",1938.81948208086
2016-10-01,"Medium",640.667794197385
2016-10-01,"Small",17.4421729340071
2016-10-01,"Micro",1.96813875445898
2016-11-01,"Corporate",2309.53184570491
2016-11-01,"Large",1936.66223767432
2016-11-01,"Medium",639.071447664947
2016-11-01,"Small",18.1942139780851
2016-11-01,"Micro",2.75659236200633
2016-12-01,"Corporate",2414.35797843996
2016-12-01,"Large",1928.35400101263
2016-12-01,"Medium",643.957070434239
2016-12-01,"Small",16.3688182868716
2016-12-01,"Micro",1.72558280617108
2017-01-01,"Corporate",2649.15492814851
2017-01-01,"Large",1915.05538302622
2017-01-01,"Medium",659.704957597539
2017-01-01,"Small",15.0856384917613
2017-01-01,"Micro",2.12419380196753
2017-02-01,"Corporate",2693.13609680959
2017-02-01,"Large",1893.48755842962
2017-02-01,"Medium",652.540536378682
2017-02-01,"Small",13.9061355634558
2017-02-01,"Micro",1.57928509301542
2017-03-01,"Corporate",2676.86315344531
2017-03-01,"Large",1938.20914872031
2017-03-01,"Medium",619.033896305525
2017-03-01,"Small",16.9776689491818
2017-03-01,"Micro",1.33586516242156
2017-04-01,"Corporate",2560.40286614583
2017-04-01,"Large",2035.10165613597
