date,year,month,tf_month,exports_annual,tf_pct_exports
2015-05-01,2015,5,5776.698572977423,40289.52,14.337968218478213
2015-06-01,2015,6,5962.448949770381,40289.52,14.799007160597549
2015-07-01,2015,7,6070.450730621257,40289.52,15.067071364020364
2015-08-01,2015,8,5972.229397640665,40289.52,14.82328257482508
2015-09-01,2015,9,6010.244936521526,40289.52,14.917638474028797
2015-10-01,2015,10,5677.200821383379,40289.52,14.091011313570823
2015-11-01,2015,11,5475.935649346994,40289.52,13.59146410616705
2015-12-01,2015,12,5298.591494471625,40289.52,13.151289701320904
2016-01-01,2016,1,5331.6513533590705,43205.969,12.340080495264603
2016-02-01,2016,2,5314.805873866054,43205.969,12.301091716901556
2016-03-01,2016,3,5081.730116807001,43205.969,11.761639038362965
2016-04-01,2016,4,4977.916622580549,43205.969,11.521363223170738
2016-05-01,2016,5,4864.993571219398,43205.969,11.260003383373714
2016-06-01,2016,6,4963.4310257451925,43205.969,11.487836381461998
2016-07-01,2016,7,5269.605312122025,43205.969,12.196475241932486
2016-08-01,2016,8,5342.030278326559,43205.969,12.364102465394444
2016-09-01,2016,9,5152.1921017189625,43205.969,11.924722951402762
2016-10-01,2016,10,5014.958103712842,43205.969,11.607095546712173
2016-11-01,2016,11,4906.216337384272,43205.969,11.355413270292058
2016-12-01,2016,12,5004.763450979865,43205.969,11.583500073751072
2017-01-01,2017,1,5241.125101065998,52116.125,10.05662854071748
2017-02-01,2017,2,5254.649612274358,52116.125,10.082579263662367
2017-03-01,2017,3,5252.419732582751,52116.125,10.078300588508357
2017-04-01,2017,4,5218.45461357557,52116.125,10.01312859230338
2017-05-01,2017,5,5348.891973744653,52116.125,10.263410746183936
2017-06-01,2017,6,5193.2491633588525,52116.125,9.964764577870769
2017-07-01,2017,7,5085.534529469301,52116.125,9.758082607771204
2017-08-01,2017,8,5014.632000789343,52116.125,9.622035408022647
2017-09-01,2017,9,5303.615041558762,52116.125,10.176533734153798
2017-10-01,2017,10,5284.503779427061,52116.125,10.1398631986301
2017-11-01,2017,11,5574.489937687559,52116.125,10.696286298506575
2017-12-01,2017,12,5308.781775624808,52116.125,10.18644762177696
2018-01-01,2018,1,5513.775660892411,56170.164,9.816200039744253
2018-02-01,2018,2,5749.181495966528,56170.164,10.235294125127583
2018-03-01,2018,3,5938.186723814389,56170.164,10.571780997140028
2018-04-01,2018,4,6083.0096765791795,56170.164,10.829609962647039
2018-05-01,2018,5,6605.730576127059,56170.164,11.760212372046945
2018-06-01,2018,6,6728.163138900943,56170.164,11.978179623796262
2018-07-01,2018,7,6665.979085564619,56170.164,11.86747306909166
2018-08-01,2018,8,6426.338687604988,56170.164,11.440840172026181
2018-09-01,2018,9,6675.60636353636,56170.164,11.884612556118512
2018-10-01,2018,10,6497.770324293348,56170.164,11.568010241688716
2018-11-01,2018,11,6230.3371746867215,56170.164,11.091897781688374
2018-12-01,2018,12,6117.913016706651,56170.164,10.891748538791255
2019-01-01,2019,1,6010.099624126652,54921.41,10.943090543608863
2019-02-01,2019,2,5909.3397343433135,54921.41,10.759628593554522
2019-03-01,2019,3,5720.762048314912,54921.41,10.416269444493343
2019-04-01,2019,4,5826.517444835297,54921.41,10.608827131050163
2019-05-01,2019,5,5854.39804718116,54921.41,10.659591673231187
2019-06-01,2019,6,5990.760728142863,54921.41,10.907878599880926
2019-07-01,2019,7,5775.0783627658275,54921.41,10.51516769646997
2019-08-01,2019,8,5844.678704531946,54921.41,10.64189485399582
2019-09-01,2019,9,5727.235715447806,54921.41,10.42805659113232
2019-10-01,2019,10,5617.740355621568,54921.41,10.228689240901803
2019-11-01,2019,11,5581.198572683688,54921.41,10.162154563554884
2019-12-01,2019,12,5250.810437474351,54921.41,9.560589281073357
2020-01-01,2020,1,5205.76792985437,46221.148,11.262740444816234
2020-02-01,2020,2,5152.628601766,46221.148,11.147772880426942
2020-03-01,2020,3,5605.615467736869,46221.148,12.12781531894636
2020-04-01,2020,4,5650.191803834898,46221.148,12.224256748955906
2020-05-01,2020,5,5589.644786862654,46221.148,12.093262562112592
2020-06-01,2020,6,5401.607012131815,46221.148,11.686440614005985
2020-07-01,2020,7,5211.725287687951,46221.148,11.275629258901036
2020-08-01,2020,8,4686.637893940165,46221.148,10.13959647635789
2020-09-01,2020,9,4104.439758796077,46221.148,8.88000392979438
2020-10-01,2020,10,3811.026854524074,46221.148,8.245201643464316
2020-11-01,2020,11,3588.4745471167175,46221.148,7.763707095974158
2020-12-01,2020,12,3537.9545040484613,46221.148,7.654406385684019
2021-01-01,2021,1,3849.2025465765482,66017.578,5.830572194842635
2021-02-01,2021,2,3993.091852830961,66017.578,6.048528246266414
