period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Ultimate_Risk_Basis_2_Cross_border_Claims_Excluding_Claims,Claims_on_Local_Residents_Total,In_Non_Local_Currency,In_Local_Currency,Claims_Resulting_From_the,Country_Risk_Claims_4,Off_Balance_Sheet_Items_Cross_Border_and_Local_Commitments_Unused_Commitments,Guarantees_Excluding_Credit_Derivatives,Credit_Derivatives_By_Reference_Gross_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Gross_Net_5_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased.1,Trade_Finance,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents.1,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents.2,Fair_Value_of_Derivatives_3.1,Total_Claims.1,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims.1,Claims_on_Local_Residents.3,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents.4,Fair_Value_of_Derivatives_3.2,Total_Claims.2,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims.2,Claims_on_Local_Residents.5,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Remaining_Maturity_less_than,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local.1,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households.1,Total_Other.1,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households.2,Total_Other.2,Claims_on_Local_Residents_Corporate.1,Households.3,Total_Other.3
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,61,GUATEMALA,,,,,,,,,,,,,,220.0,0.0,0.0,220.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,62,HONDURAS,,,,,,,,,,,,,,27.0,0.0,0.0,27.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,63,MEXICO,,,,,,,,,,,,,,1547.0,374.0,21.0,1942.0,1382.0,40.0,4103.0,121.0,0.0,4224.0,4094.0,0.0,653.0,188.0,0.0,841.0,601.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,65,PERU,,,,,,,,,,,,,,171.0,0.0,2.0,173.0,200.0,0.0,34.0,0.0,0.0,34.0,34.0,0.0,19.0,0.0,0.0,19.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,66,URUGUAY,,,,,,,,,,,,,,5.0,7.0,0.0,12.0,19.0,3.0,0.0,421.0,30.0,451.0,0.0,273.0,8.0,1.0,0.0,9.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Latin America and Caribbean,country_data,67,VENEZUELA,,,,,,,,,,,,,,18.0,0.0,0.0,18.0,26.0,0.0,16.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Banking Centers,country_data,103,BAHAMAS,,,,,,,,,,,,,,304.0,0.0,0.0,304.0,692.0,0.0,12.0,0.0,0.0,12.0,12.0,0.0,2.0,0.0,4.0,6.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Banking Centers,country_data,106,CAYMAN ISLANDS,,,,,,,,,,,,,,3886.0,8.0,0.0,3894.0,5116.0,8.0,3.0,0.0,0.0,3.0,7.0,0.0,5574.0,5.0,136.0,5715.0,5191.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 4.1,1,All Others,Banking Centers,country_data,110,PANAMA,,,,,,,,,,,,,,290.0,0.0,0.0,290.0,558.0,0.0,129.0,0.0,0.0,129.0,176.0,0.0,49.0,0.0,0.0,49.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,50,ANGUILLA,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,97.0,74.0,97.0,97.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,51,ARGENTINA,,,,,,,,,,,,,,,80.0,,,,631.0,,,,,,,,,,,,,417.0,300.0,1128.0,288.0,106.0,947.0,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,52,BRAZIL,,,,,,,,,,,,,,,5.0,,,,160.0,,,,,,,,,,,,,10063.0,5867.0,10228.0,725.0,4089.0,13516.0,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,53,CHILE,,,,,,,,,,,,,,,1.0,,,,30.0,,,,,,,,,,,,,2028.0,639.0,2059.0,350.0,160.0,1870.0,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,54,COLOMBIA,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,2549.0,1795.0,2549.0,279.0,80.0,2347.0,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,55,COSTA RICA,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,207.0,129.0,207.0,45.0,28.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,56,DOMINICAN REPUBLIC,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,482.0,294.0,482.0,194.0,4.0,292.0,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,57,ECUADOR,,,,,,,,,,,,,,,0.0,,,,26.0,,,,,,,,,,,,,326.0,128.0,352.0,153.0,20.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,58,EL SALVADOR,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,261.0,192.0,261.0,157.0,2.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,60,GUATEMALA,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,498.0,449.0,498.0,214.0,25.0,308.0,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,61,HONDURAS,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,159.0,129.0,159.0,94.0,3.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,62,MEXICO,,,,,,,,,,,,,,,4256.0,,,,3690.0,,,,,,,,,,,,,12154.0,8438.0,20100.0,1693.0,510.0,18921.0,,,,,,,,,,,,,,,,,,,,,,,,
2015Q2,2015,2,Table 2,2,All Others,Latin America and Caribbean,country_data,64,PERU,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,794.0,372.0,794.0,209.0,43.0,628.0,,,,,,,,,,,,,,,,,,,,,,,,
