year,quarter,period,bank_group,country_region,Trade_Finance
2016,3,2016Q3,All Banks,ANGUILLA,0.0
2016,3,2016Q3,All Banks,ARGENTINA,239.0
2016,3,2016Q3,All Banks,BRAZIL,8232.0
2016,3,2016Q3,All Banks,CHILE,3609.0
2016,3,2016Q3,All Banks,COLOMBIA,1469.0
2016,3,2016Q3,All Banks,COSTA RICA,308.0
2016,3,2016Q3,All Banks,DOMINICAN REPUBLIC,409.0
2016,3,2016Q3,All Banks,ECUADOR,134.0
2016,3,2016Q3,All Banks,EL SALVADOR,210.0
2016,3,2016Q3,All Banks,GUATEMALA,791.0
2016,3,2016Q3,All Banks,HONDURAS,86.0
2016,3,2016Q3,All Banks,MEXICO,1274.0
2016,3,2016Q3,All Banks,PERU,892.0
2016,3,2016Q3,All Banks,URUGUAY,59.0
2016,3,2016Q3,All Banks,VENEZUELA,30.0
2016,3,2016Q3,All Banks,BAHAMAS,10.0
2016,3,2016Q3,All Banks,CAYMAN ISLANDS,76.0
2016,3,2016Q3,All Banks,PANAMA,463.0
2016,4,2016Q4,All Others,ANGUILLA,0.0
2016,4,2016Q4,All Others,ARGENTINA,0.0
2016,4,2016Q4,All Others,BRAZIL,233.0
2016,4,2016Q4,All Others,CHILE,32.0
2016,4,2016Q4,All Others,COLOMBIA,30.0
2016,4,2016Q4,All Others,COSTA RICA,25.0
2016,4,2016Q4,All Others,DOMINICAN REPUBLIC,30.0
2016,4,2016Q4,All Others,ECUADOR,22.0
2016,4,2016Q4,All Others,EL SALVADOR,19.0
2016,4,2016Q4,All Others,GUATEMALA,87.0
2016,4,2016Q4,All Others,HONDURAS,4.0
2016,4,2016Q4,All Others,MEXICO,227.0
2016,4,2016Q4,All Others,PERU,35.0
2016,4,2016Q4,All Others,URUGUAY,0.0
2016,4,2016Q4,All Others,VENEZUELA,22.0
2016,4,2016Q4,All Others,BAHAMAS,0.0
2016,4,2016Q4,All Others,CAYMAN ISLANDS,18.0
2016,4,2016Q4,All Others,PANAMA,129.0
2016,4,2016Q4,LFI,ANGUILLA,0.0
2016,4,2016Q4,LFI,ARGENTINA,223.0
2016,4,2016Q4,LFI,BRAZIL,7575.0
2016,4,2016Q4,LFI,CHILE,3264.0
2016,4,2016Q4,LFI,COLOMBIA,1276.0
2016,4,2016Q4,LFI,COSTA RICA,302.0
2016,4,2016Q4,LFI,DOMINICAN REPUBLIC,365.0
2016,4,2016Q4,LFI,ECUADOR,121.0
2016,4,2016Q4,LFI,EL SALVADOR,158.0
2016,4,2016Q4,LFI,GUATEMALA,745.0
2016,4,2016Q4,LFI,HONDURAS,55.0
2016,4,2016Q4,LFI,MEXICO,1114.0
2016,4,2016Q4,LFI,PERU,923.0
2016,4,2016Q4,LFI,URUGUAY,73.0
2016,4,2016Q4,LFI,VENEZUELA,6.0
2016,4,2016Q4,LFI,BAHAMAS,2.0
2016,4,2016Q4,LFI,CAYMAN ISLANDS,33.0
2016,4,2016Q4,LFI,PANAMA,412.0
2016,4,2016Q4,All Banks,ANGUILLA,0.0
2016,4,2016Q4,All Banks,ARGENTINA,223.0
2016,4,2016Q4,All Banks,BRAZIL,7808.0
2016,4,2016Q4,All Banks,CHILE,3296.0
2016,4,2016Q4,All Banks,COLOMBIA,1306.0
2016,4,2016Q4,All Banks,COSTA RICA,327.0
2016,4,2016Q4,All Banks,DOMINICAN REPUBLIC,395.0
2016,4,2016Q4,All Banks,ECUADOR,143.0
2016,4,2016Q4,All Banks,EL SALVADOR,177.0
2016,4,2016Q4,All Banks,GUATEMALA,832.0
2016,4,2016Q4,All Banks,HONDURAS,59.0
2016,4,2016Q4,All Banks,MEXICO,1341.0
2016,4,2016Q4,All Banks,PERU,958.0
2016,4,2016Q4,All Banks,URUGUAY,73.0
2016,4,2016Q4,All Banks,VENEZUELA,28.0
2016,4,2016Q4,All Banks,BAHAMAS,2.0
2016,4,2016Q4,All Banks,CAYMAN ISLANDS,51.0
