period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Eastern Europe,country_data,47,TURKEY,20.0,58.0,78.0,0.0,0.0,0.0,1.0,79.0,31.0,52.0,83.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Eastern Europe,country_data,48,OTHER E. EUROPE,3.0,8.0,11.0,0.0,0.0,0.0,0.0,11.0,76.0,6.0,82.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Eastern Europe,subtotal,49,Total,134.0,110.0,244.0,95.0,0.0,95.0,41.0,380.0,286.0,93.0,379.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Eastern Europe,empty,50,,,,,,,,,,,,,,,
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,region_header,51,Latin America and Caribbean,,,,,,,,,,,,,,
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,52,ANGUILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,53,ARGENTINA,100.0,202.0,302.0,499.0,139.0,638.0,8.0,948.0,239.0,173.0,412.0,384.0,26.0,410.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,54,BRAZIL,1397.0,833.0,2230.0,12.0,0.0,12.0,16.0,2258.0,1001.0,831.0,1832.0,2.0,0.0,2.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,55,CHILE,512.0,36.0,548.0,11.0,0.0,11.0,63.0,622.0,750.0,68.0,818.0,1.0,0.0,1.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,56,COLOMBIA,199.0,202.0,401.0,0.0,0.0,0.0,28.0,429.0,283.0,120.0,403.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,57,COSTA RICA,31.0,10.0,41.0,0.0,0.0,0.0,0.0,41.0,103.0,17.0,120.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,58,DOMINICAN REPUBLIC,18.0,37.0,55.0,0.0,0.0,0.0,0.0,55.0,155.0,64.0,219.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,59,ECUADOR,51.0,129.0,180.0,0.0,0.0,0.0,0.0,180.0,226.0,132.0,358.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,60,EL SALVADOR,3.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,25.0,19.0,44.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,61,FRENCH GUIANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,62,GUATEMALA,16.0,35.0,51.0,0.0,0.0,0.0,0.0,51.0,72.0,47.0,119.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,63,HONDURAS,7.0,17.0,24.0,0.0,0.0,0.0,0.0,24.0,40.0,28.0,68.0,0.0,0.0,0.0
