period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,subtotal,19,Total,1456190.0,804549.0,2260739.0,1229096.0,602157.0,93815.0,479620.0,115926.0,547618.0,1026.0,165597.0,546023.0
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,empty,20,,,,,,,,,,,,,
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,region_header,21,Non G-10 Developed Countries,,,,,,,,,,,,
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,22,AUSTRALIA,9118.0,57525.0,66643.0,88178.0,29451.0,9486.0,19541.0,3263.0,21773.0,0.0,14498.0,21753.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,23,AUSTRIA,72.0,371.0,443.0,9195.0,-316.0,2564.0,5263.0,1264.0,1179.0,0.0,583.0,1179.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,24,CYPRUS,0.0,0.0,0.0,5271.0,-1.0,0.0,277.0,26.0,4.0,0.0,3.0,4.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,25,DENMARK,22.0,582.0,604.0,16299.0,3.0,498.0,10293.0,354.0,2289.0,0.0,257.0,2289.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,26,FINLAND,0.0,158.0,158.0,10112.0,-73.0,1776.0,5807.0,933.0,3321.0,0.0,770.0,3321.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,27,GREECE,29.0,1313.0,1342.0,6092.0,-1044.0,0.0,4254.0,266.0,2520.0,0.0,482.0,2520.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,28,IRELAND,20848.0,52999.0,73847.0,143358.0,55817.0,14085.0,23508.0,1671.0,23398.0,0.0,1527.0,23053.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,29,ISRAEL,1702.0,3706.0,5408.0,11502.0,-163.0,1139.0,5572.0,223.0,3623.0,0.0,3145.0,3623.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,30,NEW ZEALAND,72.0,1230.0,1302.0,4591.0,1454.0,389.0,892.0,91.0,567.0,0.0,337.0,567.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,31,NORWAY,0.0,521.0,521.0,7556.0,-261.0,1693.0,2783.0,460.0,25565.0,0.0,1967.0,25565.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,32,PORTUGAL,9.0,192.0,201.0,4035.0,-159.0,10.0,3207.0,714.0,2400.0,0.0,34.0,2400.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,33,SLOVAKIA,207.0,493.0,700.0,1421.0,-456.0,519.0,540.0,60.0,1384.0,0.0,26.0,1384.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,34,SPAIN,621.0,2685.0,3306.0,37614.0,-736.0,2345.0,22486.0,5735.0,5901.0,0.0,945.0,5901.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,35,OTHER NON G-10 DEV.,7.0,4.0,11.0,19927.0,18.0,0.0,591.0,6.0,5719.0,0.0,0.0,5719.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,subtotal,36,Total,32707.0,121779.0,154486.0,365151.0,83534.0,34504.0,105014.0,15066.0,99643.0,0.0,24574.0,99278.0
2024Q2,2024,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,empty,37,,,,,,,,,,,,,
2024Q2,2024,Q2,Table 3,3,All Banks,Eastern Europe,region_header,38,Eastern Europe,,,,,,,,,,,,
2024Q2,2024,Q2,Table 3,3,All Banks,Eastern Europe,country_data,39,BULGARIA,538.0,453.0,991.0,1323.0,-562.0,46.0,63.0,37.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Eastern Europe,country_data,40,CZECH REPUBLIC,2415.0,1594.0,4009.0,5364.0,386.0,813.0,874.0,229.0,6389.0,0.0,3652.0,6389.0
2024Q2,2024,Q2,Table 3,3,All Banks,Eastern Europe,country_data,41,HUNGARY,1115.0,1340.0,2455.0,7488.0,46.0,970.0,1843.0,301.0,199.0,0.0,195.0,199.0
2024Q2,2024,Q2,Table 3,3,All Banks,Eastern Europe,country_data,42,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Eastern Europe,country_data,43,POLAND,4398.0,10751.0,15149.0,17689.0,2959.0,8634.0,3049.0,313.0,178.0,0.0,176.0,178.0
2024Q2,2024,Q2,Table 3,3,All Banks,Eastern Europe,country_data,44,ROMANIA,1112.0,2407.0,3519.0,4354.0,-237.0,1479.0,1462.0,341.0,290.0,0.0,290.0,290.0
2024Q2,2024,Q2,Table 3,3,All Banks,Eastern Europe,country_data,45,RUSSIA,349.0,4875.0,5224.0,5972.0,3203.0,277.0,87.0,7.0,1404.0,0.0,1404.0,1404.0
2024Q2,2024,Q2,Table 3,3,All Banks,Eastern Europe,country_data,46,TURKEY,627.0,1045.0,1672.0,6720.0,746.0,133.0,4717.0,331.0,3164.0,0.0,3164.0,3164.0
2024Q2,2024,Q2,Table 3,3,All Banks,Eastern Europe,country_data,47,OTHER E. EUROPE,373.0,1141.0,1514.0,5509.0,-76.0,326.0,1628.0,409.0,2904.0,0.0,3.0,2904.0
2024Q2,2024,Q2,Table 3,3,All Banks,Eastern Europe,subtotal,48,Total,10927.0,23606.0,34533.0,54419.0,6465.0,12678.0,13723.0,1968.0,14528.0,0.0,8884.0,14528.0
2024Q2,2024,Q2,Table 3,3,All Banks,Eastern Europe,empty,49,,,,,,,,,,,,,
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,region_header,50,Latin America and Caribbean,,,,,,,,,,,,
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,51,ANGUILLA,4.0,0.0,4.0,614.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,52,ARGENTINA,664.0,2050.0,2714.0,2558.0,2700.0,60.0,1527.0,41.0,1239.0,1.0,1239.0,1216.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,53,BRAZIL,162.0,30895.0,31057.0,36367.0,29938.0,7644.0,56871.0,2852.0,13567.0,0.0,12529.0,13420.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,54,CHILE,10.0,141.0,151.0,698.0,2880.0,358.0,1721.0,209.0,287.0,0.0,276.0,221.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,55,COLOMBIA,32.0,3775.0,3807.0,3613.0,1018.0,857.0,2252.0,65.0,637.0,0.0,626.0,637.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,56,COSTA RICA,313.0,726.0,1039.0,1051.0,287.0,283.0,91.0,4.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,57,DOMINICAN REPUBLIC,80.0,277.0,357.0,363.0,47.0,220.0,368.0,21.0,201.0,0.0,201.0,201.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,58,ECUADOR,664.0,0.0,664.0,581.0,98.0,50.0,136.0,19.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,59,EL SALVADOR,160.0,0.0,160.0,148.0,107.0,109.0,45.0,8.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,60,FRENCH GUIANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,61,GUATEMALA,122.0,220.0,342.0,339.0,31.0,263.0,67.0,7.0,50.0,0.0,50.0,50.0
