period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,54,BRAZIL,3561.0,643.0,4204.0,9.0,0.0,9.0,0.0,4213.0,2226.0,690.0,2916.0,25.0,0.0,25.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,55,CHILE,999.0,23.0,1022.0,19.0,1.0,20.0,55.0,1097.0,1165.0,40.0,1205.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,56,COLOMBIA,642.0,173.0,815.0,2.0,2.0,4.0,18.0,837.0,758.0,128.0,886.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,57,COSTA RICA,96.0,6.0,102.0,0.0,1.0,1.0,0.0,103.0,83.0,11.0,94.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,58,DOMINICAN REPUBLIC,52.0,67.0,119.0,0.0,1.0,1.0,0.0,120.0,128.0,91.0,219.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,59,ECUADOR,119.0,101.0,220.0,2.0,0.0,2.0,0.0,222.0,256.0,75.0,331.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,60,EL SALVADOR,20.0,31.0,51.0,0.0,0.0,0.0,0.0,51.0,37.0,32.0,69.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,61,FRENCH GUIANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,62,GUATEMALA,40.0,36.0,76.0,0.0,0.0,0.0,0.0,76.0,89.0,54.0,143.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,63,HONDURAS,20.0,17.0,37.0,0.0,0.0,0.0,0.0,37.0,52.0,28.0,80.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,64,MEXICO,2791.0,881.0,3672.0,638.0,1545.0,2183.0,48.0,5903.0,3605.0,1069.0,4674.0,28.0,0.0,28.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,65,MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,66,PERU,414.0,34.0,448.0,2.0,4.0,6.0,8.0,462.0,494.0,69.0,563.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,67,URUGUAY,47.0,19.0,66.0,1.0,10.0,11.0,0.0,77.0,144.0,22.0,166.0,0.0,9.0,9.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,68,VENEZUELA,133.0,720.0,853.0,2.0,1.0,3.0,0.0,856.0,279.0,843.0,1122.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Latin America and Caribbean,country_data,69,OTHER LAT. AM. & CAR.,1024.0,295.0,1319.0,147.0,326.0,473.0,7.0,1799.0,2262.0,416.0,2678.0,65.0,205.0,270.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,73,CHINA-MAINLAND,553.0,975.0,1528.0,353.0,6.0,359.0,0.0,1887.0,528.0,969.0,1497.0,19.0,0.0,19.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,74,INDIA,90.0,22.0,112.0,340.0,297.0,637.0,0.0,749.0,70.0,22.0,92.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,75,INDONESIA,95.0,26.0,121.0,1.0,0.0,1.0,0.0,122.0,5.0,25.0,30.0,1.0,0.0,1.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,76,"KOREA, SOUTH",175.0,18.0,193.0,0.0,0.0,0.0,0.0,193.0,31.0,18.0,49.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,77,KUWAIT,76.0,5.0,81.0,0.0,0.0,0.0,0.0,81.0,76.0,5.0,81.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,78,MALAYSIA,8.0,6.0,14.0,0.0,0.0,0.0,0.0,14.0,6.0,7.0,13.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,79,PAKISTAN,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,80,PHILIPPINES,16.0,30.0,46.0,8.0,0.0,8.0,0.0,54.0,9.0,27.0,36.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,81,QATAR,17.0,5.0,22.0,0.0,0.0,0.0,0.0,22.0,17.0,4.0,21.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,82,SAUDI ARABIA,231.0,27.0,258.0,0.0,0.0,0.0,0.0,258.0,455.0,27.0,482.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,83,TAIWAN,52.0,73.0,125.0,31.0,109.0,140.0,0.0,265.0,24.0,84.0,108.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,84,THAILAND,196.0,5.0,201.0,1.0,96.0,97.0,0.0,298.0,197.0,6.0,203.0,0.0,1.0,1.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,85,UNITED ARAB EMIRATES,275.0,31.0,306.0,0.0,0.0,0.0,0.0,306.0,120.0,31.0,151.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,86,WEST BANK AND GAZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Asia and Pacific,country_data,87,OTHER ASIA AND PACIFIC,611.0,28.0,639.0,0.0,17.0,17.0,0.0,656.0,369.0,28.0,397.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Africa,country_data,91,ALGERIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Africa,country_data,92,EGYPT,15.0,2.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,3.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Africa,country_data,93,GHANA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
