period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,77,PAKISTAN,165.0,43.0,122.0,863.0,1071.0,75.0,0.0,994.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,78,PHILIPPINES,3204.0,957.0,3595.0,4202.0,8363.0,305.0,235.0,8295.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,79,QATAR,9720.0,8.0,4883.0,18.0,9746.0,41.0,718.0,10423.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,80,SAUDI ARABIA,15004.0,353.0,11072.0,1320.0,16677.0,2004.0,1400.0,16074.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,81,TAIWAN,48273.0,2706.0,49377.0,20060.0,71039.0,573.0,1598.0,72068.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,82,THAILAND,3821.0,294.0,3834.0,9204.0,13319.0,427.0,61.0,12956.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,83,UNITED ARAB EMIRATES,21334.0,1572.0,20359.0,6758.0,29664.0,2402.0,1016.0,28276.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,84,WEST BANK AND GAZA,6.0,0.0,2.0,0.0,6.0,2.0,0.0,4.0
2023Q3,2023,Q3,Table 2,2,LFI,Asia and Pacific,country_data,85,OTHER ASIA AND PACIFIC,9142.0,1841.0,8644.0,3616.0,14599.0,2990.0,376.0,11982.0
2023Q3,2023,Q3,Table 2,2,LFI,Africa,country_data,89,ALGERIA,5.0,103.0,106.0,1060.0,1168.0,147.0,0.0,1021.0
2023Q3,2023,Q3,Table 2,2,LFI,Africa,country_data,90,EGYPT,4899.0,150.0,4383.0,2484.0,7533.0,842.0,56.0,6747.0
2023Q3,2023,Q3,Table 2,2,LFI,Africa,country_data,91,GHANA,1142.0,0.0,1026.0,0.0,1142.0,105.0,0.0,1036.0
2023Q3,2023,Q3,Table 2,2,LFI,Africa,country_data,92,KENYA,324.0,270.0,527.0,539.0,1133.0,124.0,4.0,1014.0
2023Q3,2023,Q3,Table 2,2,LFI,Africa,country_data,93,MOROCCO,370.0,61.0,396.0,756.0,1187.0,24.0,0.0,1163.0
2023Q3,2023,Q3,Table 2,2,LFI,Africa,country_data,94,NIGERIA,10500.0,356.0,10063.0,1885.0,12741.0,771.0,126.0,12095.0
2023Q3,2023,Q3,Table 2,2,LFI,Africa,country_data,95,SAINT HELENA,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
2023Q3,2023,Q3,Table 2,2,LFI,Africa,country_data,96,SOUTH AFRICA,5508.0,105.0,4693.0,8235.0,13848.0,754.0,755.0,13848.0
2023Q3,2023,Q3,Table 2,2,LFI,Africa,country_data,97,SOUTH SUDAN,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2023Q3,2023,Q3,Table 2,2,LFI,Africa,country_data,98,OTHER AFRICA,5686.0,679.0,5144.0,2255.0,8620.0,1780.0,254.0,7092.0
2023Q3,2023,Q3,Table 2,2,LFI,Banking Centers,country_data,102,BAHAMAS,7329.0,2.0,6803.0,59.0,7390.0,3315.0,292.0,4368.0
2023Q3,2023,Q3,Table 2,2,LFI,Banking Centers,country_data,103,BAHRAIN,4201.0,9.0,3065.0,184.0,4394.0,1265.0,2.0,3132.0
2023Q3,2023,Q3,Table 2,2,LFI,Banking Centers,country_data,104,BERMUDA,20188.0,6.0,12816.0,1.0,20195.0,4996.0,3548.0,18747.0
2023Q3,2023,Q3,Table 2,2,LFI,Banking Centers,country_data,105,CAYMAN ISLANDS,647755.0,611.0,454940.0,76.0,648442.0,52554.0,12081.0,607969.0
2023Q3,2023,Q3,Table 2,2,LFI,Banking Centers,country_data,106,HONG KONG,35122.0,11059.0,41165.0,43389.0,89570.0,9841.0,5555.0,85190.0
2023Q3,2023,Q3,Table 2,2,LFI,Banking Centers,country_data,107,LEBANON,191.0,14.0,153.0,29.0,234.0,8.0,0.0,226.0
2023Q3,2023,Q3,Table 2,2,LFI,Banking Centers,country_data,108,MAURITIUS,3663.0,117.0,2792.0,150.0,3930.0,759.0,3.0,3174.0
2023Q3,2023,Q3,Table 2,2,LFI,Banking Centers,country_data,109,PANAMA,5461.0,713.0,4204.0,13.0,6187.0,2179.0,474.0,4483.0
2023Q3,2023,Q3,Table 2,2,LFI,Banking Centers,country_data,110,SINGAPORE,55643.0,15770.0,65280.0,44634.0,116047.0,6273.0,3739.0,113510.0
2023Q3,2023,Q3,Table 2,2,LFI,Banking Centers,country_data,111,OTHER BANKING CENTERS,30344.0,531.0,17760.0,228.0,31103.0,2562.0,2952.0,31496.0
2023Q3,2023,Q3,Table 2,2,LFI,International & Regional Organizations,country_data,115,AFRICAN,659.0,0.0,554.0,0.0,659.0,43.0,67.0,682.0
2023Q3,2023,Q3,Table 2,2,LFI,International & Regional Organizations,country_data,119,INTERNATIONAL,11045.0,0.0,5189.0,0.0,11045.0,0.0,2322.0,13367.0
2023Q3,2023,Q3,Table 2,2,LFI,International & Regional Organizations,country_data,120,LATIN AMERICAN,4260.0,0.0,1686.0,0.0,4260.0,0.0,41.0,4300.0
2023Q3,2023,Q3,Table 2,2,LFI,International & Regional Organizations,country_data,124,UNITED STATES,185989.0,36304.0,178652.0,9356198.0,9578491.0,573703.0,619567.0,9624549.0
